id,t,u,v,w,x,y,z,ts_in,ts_out
21774,0.364,0.665,0.739,0.949,0.829,0.999,0.825,466,1439
21775,0.824,0.347,0.518,0.121,0.09,0.051,0.939,288,1299
21776,0.832,0.672,0.474,0.399,0.399,0.945,0.097,887,1973
21777,0.797,0.4,0.422,0.373,0.508,0.539,0.345,101,576
21778,0.846,0.407,0.838,0.817,0.538,0.547,0.983,515,1334
21779,0.348,0.618,0.695,0.175,0.91,0.162,0.986,88,99
21780,0.444,0.913,0.563,0.621,0.723,0.177,0.344,76,1339
21781,0.278,0.393,0.275,0.57,0.503,0.144,0.265,888,1166
21782,0.705,0.385,0.194,0.442,0.712,0.936,0.757,752,889
21783,0.012,0.323,0.589,0.884,0.646,0.175,0.699,6,879
21784,0.8,0.858,0.34,0.996,0.599,0.629,0.92,595,1731
21785,0.351,0.477,0.166,0.231,0.778,0.418,0.783,412,1434
21786,0.084,0.499,0.219,0.342,0.038,0.523,0.314,634,723
21787,0.05,0.254,0.115,0.657,0.065,0.453,0.753,549,1534
21788,0.08,0.815,0.002,0.723,0.516,0.002,0.215,793,1364
21789,0.963,0.683,0.667,0.661,0.601,0.831,0.613,426,856
21790,0.713,0.553,0.857,0.878,0.614,0.202,0.706,270,1715
21791,0.293,0.588,0.721,0.54,0.16,0.247,0.292,993,1459
21792,0.089,0.61,0.715,0.908,0.848,0.679,0.097,793,1400
21793,0.599,0.663,0.053,0.391,0.991,0.819,0.643,468,1236
21794,0.574,0.401,0.479,0.578,0.406,0.689,0.803,531,1569
21795,0.232,0.941,0.525,0.604,0.562,0.428,0.361,338,1773
21796,0.668,0.764,0.445,0.702,0.639,0.166,0.561,386,1092
21797,0.885,0.645,0.158,0.072,0.69,0.867,0.175,152,1664
21798,0.803,0.391,0.04,0.164,0.632,0.977,0.519,932,1105
21799,0.404,0.719,0.417,0.814,0.851,0.771,0.727,605,1980
21800,0.343,0.914,0.047,0.934,0.933,0.816,0.382,5,1014
21801,0.594,0.013,0.72,0.98,0.268,0.739,0.922,829,1306
21802,0.265,0.674,0.382,0.0,0.774,0.301,0.943,208,649
21803,0.192,0.833,0.69,0.407,0.25,0.414,0.758,668,1715
21804,0.877,0.015,0.448,0.303,0.274,0.895,0.717,869,1792
21805,0.708,0.402,0.835,0.427,0.658,0.537,0.171,375,1049
21806,0.352,0.513,0.723,0.823,0.732,0.984,0.532,737,1195
21807,0.188,0.671,0.994,0.292,0.121,0.862,0.896,15,1963
21808,0.711,0.833,0.132,0.791,0.326,0.949,0.842,787,1117
21809,0.276,0.341,0.853,0.863,0.44,0.64,0.939,178,899
21810,0.38,0.864,0.52,0.926,0.417,0.172,0.54,549,1312
21811,0.732,0.593,0.099,0.729,0.223,0.424,0.867,516,1418
21812,0.316,0.984,0.435,0.797,0.917,0.886,0.507,896,1614
21813,0.908,0.389,0.363,0.604,0.126,0.487,0.768,571,1411
21814,0.664,0.971,0.301,0.607,0.283,0.441,0.496,360,1575
21815,0.261,0.845,0.961,0.273,0.454,0.17,0.112,874,1368
21816,0.289,0.536,0.258,0.902,0.95,0.348,0.477,814,1447
21817,0.616,0.028,0.528,0.42,0.972,0.099,0.273,838,993
21818,0.425,0.072,0.787,0.929,0.438,0.234,0.286,345,725
21819,0.466,0.049,0.545,0.715,0.56,0.678,0.637,561,1883
21820,0.124,0.858,0.571,0.135,0.795,0.248,0.517,80,1665
21821,0.453,0.985,0.523,0.587,0.772,0.283,0.349,707,1292
21822,0.652,0.61,0.566,0.216,0.645,0.566,0.158,841,1601
21823,0.442,0.806,0.449,0.94,0.714,0.818,0.732,277,1640
21824,0.618,0.622,0.623,0.891,0.946,0.371,0.006,834,1846
21825,0.359,0.657,0.861,0.059,0.064,0.834,0.943,196,381
21826,0.16,0.057,0.248,0.467,0.721,0.482,0.159,935,1095
21827,0.026,0.063,0.583,0.793,0.568,0.871,0.273,687,1340
21828,0.516,0.303,0.686,0.185,0.854,0.609,0.29,135,1693
21829,0.583,0.971,0.906,0.157,0.845,0.766,0.71,994,1530
21830,0.318,0.952,0.31,0.398,0.934,0.873,0.425,307,355
21831,0.108,0.058,0.187,0.978,0.754,0.171,0.494,443,1133
21832,0.802,0.872,0.361,0.26,0.607,0.99,0.003,883,1368
21833,0.291,0.199,0.35,0.797,0.631,0.113,0.761,312,1342
21834,0.573,0.83,0.421,0.288,0.977,0.204,0.306,409,861
21835,0.121,0.695,0.292,0.335,0.427,0.73,0.421,284,1327
21836,0.494,0.859,0.547,0.967,0.132,0.056,0.395,133,1402
21837,0.987,0.352,0.966,0.657,0.485,0.422,0.884,248,1496
21838,0.598,0.679,0.685,0.19,0.323,0.993,0.11,193,1959
21839,0.928,0.333,0.344,0.182,0.475,0.68,0.171,360,1862
21840,0.724,0.808,0.517,0.118,0.856,0.643,0.591,384,552
21841,0.884,0.074,0.123,0.884,0.773,0.663,0.407,333,873
21842,0.63,0.384,0.478,0.209,0.613,0.332,0.361,909,1110
21843,0.218,0.236,0.327,0.606,0.832,0.092,0.595,681,1218
21844,0.449,0.105,0.056,0.633,0.041,0.486,0.006,213,1414
21845,0.127,0.96,0.31,0.985,0.031,0.486,0.931,316,1652
21846,0.086,0.842,0.941,0.95,0.034,0.433,0.641,834,1767
21847,0.712,0.782,0.918,0.294,0.0,0.277,0.412,787,1437
21848,0.838,0.056,0.384,0.514,0.561,0.012,0.514,118,679
21849,0.325,0.928,0.324,0.324,0.318,0.864,0.071,686,1409
21850,0.236,0.283,0.735,0.296,0.533,0.833,0.841,802,1796
21851,0.528,0.132,0.59,0.497,0.432,0.249,0.855,201,1856
21852,0.065,0.619,0.358,0.493,0.722,0.289,0.772,665,1866
21853,0.69,0.061,0.967,0.994,0.151,0.04,0.19,112,1051
21854,0.195,0.41,0.064,0.231,0.65,0.671,0.965,675,1877
21855,0.803,0.826,0.827,0.791,0.861,0.123,0.344,618,1804
21856,0.468,0.27,0.252,0.99,0.083,0.753,0.673,78,1315
21857,0.161,0.08,0.12,0.164,0.798,0.946,0.857,370,1898
21858,0.382,0.696,0.363,0.587,0.223,0.917,0.998,329,637
21859,0.925,0.851,0.068,0.999,0.411,0.428,0.274,303,1085
21860,0.918,0.448,0.051,0.576,0.391,0.531,0.377,168,195
21861,0.889,0.771,0.017,0.92,0.825,0.045,0.338,980,1642
21862,0.55,0.382,0.416,0.817,0.307,0.596,0.251,198,275
21863,0.543,0.054,0.353,0.238,0.915,0.77,0.588,916,1999
21864,0.431,0.172,0.184,0.665,0.986,0.193,0.418,258,1828
21865,0.562,0.291,0.54,0.93,0.553,0.621,0.254,896,1567
21866,0.803,0.109,0.598,0.277,0.143,0.745,0.445,535,1942
21867,0.361,0.503,0.011,0.123,0.353,0.584,0.273,414,440
21868,0.49,0.124,0.514,0.449,0.846,0.725,0.721,827,962
21869,0.443,0.83,0.044,0.755,0.625,0.455,0.274,367,1797
21870,0.516,0.469,0.83,0.175,0.007,0.574,0.7,484,1593
21871,0.422,0.752,0.475,0.665,0.623,0.929,0.734,915,1888
21872,0.141,0.812,0.989,0.6,0.55,0.75,0.601,596,1002
21873,0.413,0.433,0.886,0.152,0.518,0.317,0.579,972,1308
21874,0.175,0.205,0.227,0.353,0.972,0.075,0.374,174,1435
21875,0.889,0.448,0.199,0.09,0.779,0.433,0.307,936,1527
21876,0.423,0.574,0.583,0.882,0.038,0.284,0.011,992,1444
21877,0.151,0.838,0.494,0.44,0.114,0.854,0.659,734,1519
21878,0.695,0.683,0.762,0.178,0.399,0.955,0.251,820,1064
21879,0.48,0.416,0.12,0.695,0.174,0.307,0.992,472,654
21880,0.926,0.466,0.507,0.754,0.531,0.118,0.695,369,1191
21881,0.724,0.838,0.032,0.236,0.817,0.018,0.594,790,1714
21882,0.449,0.98,0.996,0.136,0.204,0.755,0.348,949,1988
21883,0.488,0.485,0.877,0.563,0.128,0.65,0.144,34,954
21884,0.871,0.258,0.485,0.981,0.08,0.152,0.758,819,1150
21885,0.431,0.892,0.737,0.871,0.715,0.802,0.226,301,860
21886,0.005,0.458,0.027,0.684,0.604,0.027,0.139,993,1182
21887,0.826,0.297,0.924,0.081,0.023,0.13,0.242,402,806
21888,0.535,0.024,0.881,0.907,0.28,0.484,0.611,205,1300
21889,0.91,0.601,0.696,0.724,0.192,0.776,0.202,797,1362
21890,0.137,0.361,0.7,0.364,0.993,0.893,0.992,485,630
21891,0.417,0.027,0.056,0.142,0.262,0.05,0.26,197,1565
21892,0.097,0.571,0.495,0.031,0.586,0.999,0.785,758,1445
21893,0.73,0.919,0.392,0.914,0.219,0.638,0.239,650,691
21894,0.69,0.402,0.63,0.801,0.719,0.893,0.597,589,701
21895,0.319,0.102,0.709,0.215,0.188,0.696,0.019,996,1995
21896,0.587,0.706,0.693,0.257,0.595,0.96,0.784,788,1116
21897,0.668,0.443,0.598,0.53,0.224,0.481,0.809,502,1064
21898,0.734,0.082,0.392,0.276,0.602,0.61,0.253,888,922
21899,0.046,0.162,0.653,0.627,0.027,0.562,0.854,646,1654
21900,0.628,0.706,0.9,0.228,0.469,0.742,0.744,678,1909
21901,0.098,0.584,0.223,0.232,0.722,0.629,0.628,444,875
21902,0.351,0.996,0.453,0.932,0.509,0.74,0.366,338,1188
21903,0.489,0.302,0.703,0.491,0.193,0.751,0.725,4,1879
21904,0.731,0.662,0.689,0.205,0.335,0.744,0.169,861,871
21905,0.058,0.491,0.693,0.86,0.862,0.894,0.416,638,887
21906,0.921,0.658,0.644,0.435,0.876,0.693,0.816,518,1025
21907,0.796,0.072,0.088,0.803,0.622,0.378,0.23,650,1535
21908,0.876,0.057,0.886,0.281,0.636,0.102,0.145,757,1517
21909,0.461,0.344,0.663,0.53,0.686,0.712,0.39,224,1480
21910,0.983,0.007,0.288,0.621,0.819,0.754,0.121,36,559
21911,0.875,0.541,0.936,0.558,0.917,0.479,0.384,763,1963
21912,0.971,0.393,0.415,0.822,0.505,0.666,0.118,228,797
21913,0.735,0.407,0.323,0.089,0.469,0.591,0.199,874,1687
21914,0.035,0.381,0.379,0.116,0.547,0.016,0.877,841,1433
21915,0.873,0.718,0.193,0.606,0.597,0.893,0.969,97,987
21916,0.123,0.199,0.718,0.347,0.875,0.042,0.099,138,1495
21917,0.205,0.267,0.816,0.293,0.589,0.932,0.493,212,1416
21918,0.873,0.921,0.051,0.592,0.791,0.879,0.365,437,916
21919,0.63,0.086,0.231,0.079,0.904,0.448,0.454,141,1109
21920,0.561,0.985,0.775,0.823,0.641,0.209,0.783,446,460
21921,0.83,0.808,0.708,0.207,0.846,0.794,0.107,316,1767
21922,0.092,0.896,0.954,0.236,0.788,0.851,0.946,12,1015
21923,0.26,0.182,0.183,0.987,0.693,0.596,0.118,685,1670
21924,0.763,0.214,0.528,0.562,0.156,0.852,0.595,579,987
21925,0.995,0.768,0.785,0.693,0.4,0.508,0.658,291,718
21926,0.774,0.915,0.553,0.075,0.599,0.327,0.412,71,986
21927,0.28,0.17,0.825,0.831,0.233,0.628,0.149,995,1979
21928,0.076,0.629,0.989,0.061,0.901,0.6,0.87,494,1279
21929,0.73,0.597,0.551,0.399,0.01,0.12,0.35,734,1461
21930,0.333,0.324,0.052,0.176,0.21,0.869,0.013,305,1609
21931,0.949,0.954,0.526,0.703,0.829,0.265,0.787,133,162
21932,0.392,0.546,0.07,0.363,0.438,0.296,0.354,391,613
21933,0.957,0.25,0.879,0.379,0.839,0.051,0.579,439,1850
21934,0.477,0.438,0.338,0.725,0.284,0.828,0.209,696,1513
21935,0.405,0.784,0.895,0.013,0.516,0.492,0.714,98,1350
21936,0.485,0.043,0.328,0.414,0.006,0.738,0.893,604,816
21937,0.971,0.447,0.184,0.44,0.766,0.671,0.447,168,1484
21938,0.018,0.547,0.619,0.452,0.108,0.696,0.196,271,1613
21939,0.153,0.518,0.28,0.647,0.382,0.601,0.647,272,1399
21940,0.694,0.897,0.887,0.408,0.053,0.283,0.496,745,1397
21941,0.766,0.995,0.683,0.517,0.55,0.492,0.891,823,1904
21942,0.88,0.163,0.514,0.852,0.946,0.752,0.592,588,1728
21943,0.116,0.598,0.559,0.548,0.702,0.492,0.304,253,1480
21944,0.797,0.404,0.657,0.465,0.615,0.573,0.519,72,725
21945,0.462,0.634,0.32,0.028,0.898,0.237,0.181,308,1468
21946,0.102,0.308,0.481,0.673,0.63,0.008,0.909,562,750
21947,0.16,0.449,0.661,0.451,0.75,0.291,0.166,720,801
21948,0.476,0.896,0.011,0.321,0.931,0.9,0.49,539,1962
21949,0.312,0.42,0.732,0.436,0.153,0.233,0.103,347,1211
21950,0.377,0.908,0.951,0.531,0.961,0.828,0.064,737,1442
21951,0.967,0.566,0.279,0.229,0.416,0.066,0.885,326,1693
21952,0.727,0.727,0.729,0.154,0.085,0.994,0.664,85,264
21953,0.874,0.292,0.404,0.476,0.249,0.481,0.693,144,1704
21954,0.413,0.597,0.094,0.999,0.83,0.824,0.34,319,598
21955,0.004,0.64,0.555,0.38,0.061,0.363,0.201,76,1505
21956,0.239,0.484,0.448,0.799,0.001,0.576,0.872,575,933
21957,0.094,0.866,0.142,0.743,0.41,0.444,0.295,193,1670
21958,0.325,0.276,0.127,0.407,0.939,0.137,0.287,399,759
21959,0.822,0.058,0.707,0.183,0.587,0.409,0.947,46,510
21960,0.288,0.623,0.413,0.874,0.198,0.387,0.207,219,1436
21961,0.452,0.495,0.83,0.628,0.205,0.647,0.669,949,1014
21962,0.258,0.675,0.633,0.485,0.112,0.188,0.067,529,1804
21963,0.455,0.006,0.185,0.048,0.381,0.287,0.097,600,1051
21964,0.705,0.284,0.099,0.244,0.304,0.652,0.895,204,1497
21965,0.341,0.391,0.099,0.961,0.414,0.898,0.258,70,1537
21966,0.166,0.743,0.571,0.03,0.545,0.606,0.323,938,1937
21967,0.306,0.96,0.407,0.856,0.38,0.952,0.477,384,947
21968,0.419,0.304,0.116,0.562,0.319,0.814,0.466,467,1774
21969,0.782,0.212,0.016,0.916,0.596,0.917,0.359,675,1486
21970,0.466,0.908,0.527,0.987,0.471,0.037,0.059,882,1408
21971,0.726,0.938,0.511,0.438,0.141,0.064,0.743,423,1565
21972,0.531,0.122,0.381,0.518,0.328,0.063,0.444,195,1729
21973,0.626,0.062,0.916,0.746,0.523,0.298,0.387,809,1445
21974,0.478,0.857,0.306,0.724,0.009,0.652,0.91,294,373
21975,0.184,0.856,0.697,0.118,0.277,0.585,0.989,471,512
21976,0.756,0.708,0.198,0.284,0.062,0.355,0.278,737,1346
21977,0.096,0.341,0.715,0.079,0.566,0.522,0.333,413,920
21978,0.551,0.94,0.262,0.887,0.399,0.97,0.319,10,905
21979,0.529,0.411,0.508,0.898,0.474,0.336,0.246,689,1088
21980,0.434,0.924,0.313,0.668,0.73,0.549,0.166,998,1157
21981,0.388,0.815,0.753,0.226,0.684,0.535,0.661,926,1200
21982,0.267,0.184,0.663,0.177,0.5,0.264,0.508,806,1038
21983,0.889,0.721,0.014,0.004,0.732,0.855,0.227,694,1511
21984,0.514,0.11,0.135,0.266,0.929,0.255,0.211,417,1454
21985,0.489,0.781,0.096,0.637,0.282,0.914,0.999,536,1712
21986,0.66,0.729,0.015,0.768,0.708,0.22,0.775,153,522
21987,0.143,0.115,0.683,0.975,0.614,0.015,0.671,771,1991
21988,0.122,0.853,0.528,0.961,0.08,0.156,0.707,448,870
21989,0.724,0.356,0.96,0.661,0.045,0.938,0.98,904,1699
21990,0.587,0.287,0.527,0.777,0.273,0.064,0.565,113,1672
21991,0.058,0.407,0.899,0.296,0.182,0.899,0.452,89,1398
21992,0.824,0.131,0.843,0.896,0.498,0.954,0.359,92,1709
21993,0.211,0.237,0.055,0.386,0.159,0.237,0.797,623,1275
21994,0.245,0.804,0.348,0.824,0.305,0.597,0.133,928,1316
21995,0.398,0.409,0.568,0.983,0.535,0.777,0.762,183,482
21996,0.289,0.373,0.401,0.25,0.47,0.12,0.367,874,956
21997,0.747,0.215,0.881,0.907,0.016,0.336,0.47,255,1142
21998,0.127,0.931,0.171,0.767,0.136,0.785,0.805,127,1104
21999,0.389,0.686,0.565,0.733,0.537,0.891,0.129,881,1372
22000,0.835,0.924,0.239,0.844,0.234,0.789,0.154,133,1909
22001,0.506,0.807,0.471,0.724,0.297,0.83,0.155,127,1741
22002,0.214,0.652,0.084,0.817,0.252,0.684,0.592,980,1284
22003,0.812,0.206,0.63,0.435,0.721,0.608,0.797,624,1430
22004,0.593,0.448,0.129,0.543,0.151,0.729,0.664,967,1089
22005,0.397,0.679,0.467,0.835,0.671,0.678,0.512,618,976
22006,0.313,0.807,0.292,0.967,0.658,0.094,0.786,147,409
22007,0.556,0.707,0.863,0.025,0.816,0.842,0.306,442,1415
22008,0.497,0.564,0.465,0.183,0.888,0.197,0.131,421,1237
22009,0.587,0.085,0.687,0.511,0.156,0.808,0.551,168,1434
22010,0.03,0.359,0.229,0.936,0.308,0.574,0.044,989,1940
22011,0.911,0.064,0.494,0.748,0.459,0.735,0.184,245,811
22012,0.181,0.934,0.659,0.59,0.151,0.579,0.544,892,1751
22013,0.113,0.656,0.467,0.481,0.353,0.6,0.016,426,933
22014,0.777,0.333,0.286,0.53,0.144,0.343,0.68,74,544
22015,0.335,0.939,0.117,0.526,0.017,0.141,0.622,629,689
22016,0.231,0.271,0.833,0.685,0.329,0.167,0.895,289,1246
22017,0.749,0.47,0.538,0.767,0.527,0.213,0.297,183,1454
22018,0.984,0.746,0.14,0.689,0.367,0.051,0.196,715,1454
22019,0.785,0.527,0.832,0.858,0.418,0.753,0.64,555,1320
22020,0.618,0.762,0.129,0.763,0.736,0.648,0.785,653,1914
22021,0.232,0.699,0.712,0.199,0.479,0.307,0.276,107,1295
22022,0.905,0.403,0.828,0.731,0.489,0.475,0.128,311,1496
22023,0.585,0.818,0.653,0.674,0.775,0.697,0.933,505,1575
22024,0.636,0.575,0.815,0.125,0.385,0.971,0.251,946,1608
22025,0.363,0.711,0.73,0.71,0.568,0.92,0.365,773,1202
22026,0.205,0.678,0.753,0.348,0.74,0.712,0.048,562,1568
22027,0.506,0.897,0.996,0.209,0.884,0.492,0.971,991,1828
22028,0.112,0.946,0.384,0.737,0.728,0.34,0.029,69,1674
22029,0.705,0.603,0.114,0.563,0.623,0.41,0.174,141,487
22030,0.19,0.457,0.469,0.199,0.499,0.285,0.189,723,865
22031,0.307,0.527,0.839,0.362,0.006,0.32,0.745,387,640
22032,0.53,0.309,0.643,0.612,0.698,0.513,0.482,102,140
22033,0.7,0.759,0.397,0.705,0.069,0.552,0.528,34,248
22034,0.923,0.337,0.415,0.034,0.121,0.078,0.157,27,1205
22035,0.433,0.364,0.202,0.356,0.861,0.383,0.988,463,1829
22036,0.782,0.759,0.255,0.739,0.194,0.672,0.03,441,781
22037,0.428,0.654,0.804,0.409,0.114,0.785,0.883,445,667
22038,0.752,0.85,0.608,0.37,0.738,0.649,0.88,652,1710
22039,0.653,0.502,0.965,0.848,0.289,0.313,0.289,248,1474
22040,0.755,0.45,0.641,0.563,0.557,0.704,0.082,364,1851
22041,0.822,0.457,0.143,0.692,0.603,0.524,0.57,696,1450
22042,0.326,0.714,0.998,0.75,0.256,0.368,0.153,349,502
22043,0.789,0.05,0.338,0.457,0.272,0.956,0.497,260,1529
22044,0.409,0.356,0.763,0.464,0.661,0.482,0.164,531,1857
22045,0.192,0.047,0.655,0.087,0.741,0.895,0.326,391,1705
22046,0.889,0.649,0.908,0.18,0.711,0.219,0.0,634,1508
22047,0.891,0.008,0.486,0.091,0.087,0.064,0.471,332,1845
22048,0.161,0.176,0.55,0.569,0.78,0.369,0.917,306,315
22049,0.584,0.003,0.245,0.39,0.369,0.001,0.119,926,1048
22050,0.659,0.553,0.677,0.594,0.886,0.767,0.878,402,1022
22051,0.572,0.946,0.747,0.043,0.68,0.844,0.244,634,1359
22052,0.972,0.5,0.355,0.671,0.273,0.303,0.748,588,1797
22053,0.701,0.669,0.216,0.803,0.373,0.898,0.885,181,279
22054,0.443,0.17,0.741,0.376,0.53,0.667,0.46,862,1561
22055,0.733,0.295,0.702,0.022,0.892,0.319,0.441,502,650
22056,0.415,0.833,0.82,0.31,0.432,0.146,0.449,686,976
22057,0.208,0.828,0.004,0.546,0.028,0.029,0.992,569,1394
22058,0.532,0.069,0.529,0.809,0.242,0.121,0.562,216,1435
22059,0.243,0.283,0.62,0.208,0.27,0.551,0.251,691,1561
22060,0.477,0.404,0.981,0.033,0.32,0.312,0.905,544,1108
22061,0.329,0.708,0.47,0.247,0.99,0.437,0.419,257,1267
22062,0.877,0.456,0.487,0.998,0.463,0.481,0.473,214,1678
22063,0.47,0.823,0.743,0.093,0.203,0.537,0.473,993,1270
22064,0.729,0.64,0.868,0.77,0.114,0.154,0.47,981,1390
22065,0.986,0.408,0.748,0.771,0.697,0.559,0.314,230,1628
22066,0.496,0.544,0.187,0.784,0.634,0.368,0.143,846,1284
22067,0.878,0.924,0.117,0.766,0.679,0.048,0.44,344,1132
22068,0.666,0.792,0.681,0.789,0.148,0.068,0.372,735,1094
22069,0.443,0.299,0.326,0.351,0.462,0.426,0.696,934,1944
22070,0.556,0.342,0.53,0.352,0.198,0.098,0.132,956,1274
22071,0.729,0.008,0.355,0.368,0.113,0.872,0.771,529,1982
22072,0.383,0.98,0.899,0.073,0.57,0.869,0.431,372,444
22073,0.895,0.246,0.628,0.455,0.122,0.418,0.608,384,893
22074,0.827,0.714,0.123,0.861,0.708,0.661,0.676,436,1509
22075,0.906,0.144,0.998,0.881,0.634,0.774,0.106,938,1589
22076,0.904,0.862,0.162,0.594,0.752,0.501,0.366,965,1398
22077,0.68,0.496,0.337,0.541,0.677,0.874,0.9,642,1870
22078,0.078,0.539,0.855,0.054,0.573,0.335,0.38,263,1356
22079,0.815,0.132,0.929,0.297,0.202,0.706,0.476,332,617
22080,0.709,0.506,0.325,0.635,0.247,0.023,0.206,781,2000
22081,0.998,0.067,0.022,0.922,0.413,0.486,0.09,525,1706
22082,0.745,0.003,0.624,0.959,0.054,0.11,0.564,648,1189
22083,0.078,0.048,0.484,0.599,0.405,0.265,0.431,972,1904
22084,0.504,0.07,0.867,0.106,0.428,0.21,0.635,343,492
22085,0.749,0.917,0.351,0.393,0.789,0.386,0.522,81,1305
22086,0.058,0.014,0.733,0.336,0.722,0.951,0.073,910,1417
22087,0.611,0.466,0.741,0.787,0.976,0.659,0.432,812,1109
22088,0.991,0.533,0.081,0.219,0.732,0.043,0.552,945,1365
22089,0.865,0.862,0.573,0.999,0.0,0.483,0.957,430,1246
22090,0.798,0.365,0.479,0.199,0.93,0.947,0.399,809,1993
22091,0.639,0.885,0.627,0.017,0.989,0.32,0.134,729,1178
22092,0.057,0.987,0.616,0.18,0.088,0.264,0.878,120,1335
22093,0.326,0.022,0.876,0.854,0.08,0.132,0.008,34,1138
22094,0.142,0.053,0.356,0.876,0.056,0.002,0.932,804,1362
22095,0.495,0.919,0.684,0.964,0.995,0.099,0.826,718,1264
22096,0.581,0.206,0.696,0.439,0.318,0.237,0.676,473,968
22097,0.585,0.024,0.474,0.192,0.119,0.551,0.247,806,1367
22098,0.736,0.828,0.849,0.472,0.908,0.481,0.905,925,1174
22099,0.26,0.451,0.358,0.235,0.405,0.371,0.782,315,1943
22100,0.445,0.77,0.931,0.389,0.13,0.613,0.257,828,1205
22101,0.196,0.953,0.317,0.703,0.289,0.704,0.569,712,949
22102,0.114,0.905,0.53,0.175,0.895,0.767,0.929,588,980
22103,0.058,0.527,0.103,0.157,0.202,0.882,0.523,583,1913
22104,0.445,0.028,0.757,0.018,0.805,0.496,0.627,397,642
22105,0.449,0.368,0.55,0.118,0.728,0.972,0.984,64,369
22106,0.708,0.355,0.772,0.635,0.654,0.331,0.95,939,1039
22107,0.61,0.398,0.42,0.224,0.638,0.974,0.787,430,1380
22108,0.859,0.69,0.023,0.908,0.379,0.497,0.013,283,1668
22109,0.985,0.481,0.082,0.024,0.108,0.555,0.697,71,1712
22110,0.155,0.175,0.009,0.457,0.452,0.958,0.274,267,495
22111,0.904,0.268,0.743,0.57,0.508,0.08,0.664,182,1116
22112,0.072,0.63,0.976,0.331,0.447,0.182,0.701,268,868
22113,0.738,0.416,0.773,0.325,0.213,0.368,0.099,223,416
22114,0.41,0.837,0.574,0.27,0.966,0.026,0.241,710,1483
22115,0.987,0.178,0.234,0.476,0.231,0.193,0.546,223,378
22116,0.675,0.251,0.987,0.29,0.443,0.921,0.78,690,1847
22117,0.116,0.465,0.381,0.287,0.192,0.325,0.662,277,729
22118,0.467,0.005,0.613,0.658,0.788,0.295,0.099,95,437
22119,0.412,0.706,0.478,0.607,0.725,0.837,0.272,468,854
22120,0.934,0.918,0.56,0.059,0.098,0.887,0.324,662,1394
22121,0.227,0.389,0.243,0.13,0.299,0.647,0.418,116,1371
22122,0.893,0.687,0.506,0.229,0.982,0.267,0.49,431,734
22123,0.907,0.393,0.534,0.618,0.248,0.096,0.802,523,1885
22124,0.174,0.124,0.791,0.311,0.542,0.541,0.087,177,1316
22125,0.477,0.885,0.73,0.712,0.556,0.494,0.914,446,884
22126,0.509,0.869,0.198,0.814,0.619,0.078,0.45,606,1633
22127,0.153,0.764,0.61,0.898,0.429,0.667,0.487,628,811
22128,0.356,0.075,0.288,0.764,0.581,0.353,0.391,714,1270
22129,0.061,0.646,0.201,0.24,0.727,0.739,0.657,747,1324
22130,0.361,0.168,0.846,0.424,0.286,0.973,0.818,572,1917
22131,0.976,0.988,0.221,0.382,0.074,0.673,0.253,826,875
22132,0.291,0.949,0.167,0.363,0.949,0.488,0.141,62,1950
22133,0.278,0.225,0.135,0.24,0.863,0.146,0.467,341,588
22134,0.807,0.105,0.921,0.831,0.77,0.602,0.469,996,1682
22135,0.587,0.927,0.654,1.0,0.064,0.309,0.106,52,1436
22136,0.833,0.404,0.17,0.579,0.136,0.741,0.741,468,605
22137,0.193,0.771,0.052,0.067,0.073,0.791,0.545,527,1746
22138,0.192,0.299,0.152,0.902,0.353,0.183,0.603,353,1942
22139,0.341,0.775,0.643,0.176,0.153,0.199,0.132,668,863
22140,0.293,0.839,0.74,0.539,0.871,0.654,0.493,470,568
22141,0.471,0.599,0.486,0.502,0.839,0.488,0.925,584,1125
22142,0.153,0.32,0.207,0.319,0.122,0.268,0.713,612,1624
22143,0.632,0.151,0.044,0.738,0.047,0.473,0.578,641,1295
22144,0.386,0.423,0.949,0.641,0.401,0.134,0.129,965,1059
22145,0.046,0.479,0.101,0.677,0.833,0.706,0.643,160,734
22146,0.39,0.16,0.791,0.229,0.015,0.17,0.106,435,1821
22147,0.875,0.07,0.161,0.383,0.823,0.565,0.91,160,1402
22148,0.231,0.472,0.717,0.944,0.868,0.948,0.503,308,1503
22149,0.298,0.277,0.655,0.347,0.095,0.111,0.473,411,1236
22150,0.123,0.785,0.848,0.36,0.683,0.48,0.215,531,1750
22151,0.439,0.073,0.104,0.796,0.465,0.561,0.269,970,1107
22152,0.383,0.991,0.074,0.92,0.552,0.17,0.457,738,1700
22153,0.363,0.511,0.143,0.495,0.067,0.001,0.873,696,1317
22154,0.063,0.081,0.55,0.882,0.361,0.915,0.153,580,1926
22155,0.707,0.17,0.114,0.563,0.885,0.481,0.379,936,1730
22156,0.492,0.187,0.439,0.006,0.283,0.983,0.591,372,718
22157,0.089,0.552,0.964,0.101,0.064,0.371,0.863,258,973
22158,0.945,0.943,0.874,0.116,0.85,0.897,0.256,109,575
22159,0.371,0.107,0.38,0.424,0.414,0.253,0.09,824,1835
22160,0.021,0.163,0.282,0.111,0.476,0.564,0.397,575,692
22161,0.116,0.138,0.532,0.049,0.445,0.345,0.217,746,1926
22162,0.691,0.825,0.736,0.89,0.13,0.45,0.64,797,1633
22163,0.237,0.989,0.476,0.315,0.88,0.254,0.297,607,620
22164,0.231,0.637,0.739,0.567,0.167,0.081,0.786,707,1710
