id,t,u,v,w,x,ts_in,ts_out
24471,0.787,0.489,0.061,0.125,0.88,896,1819
24472,0.786,0.278,0.076,0.137,0.876,386,1284
24473,0.786,0.25,0.091,0.152,0.872,879,1085
24474,0.785,0.25,0.136,0.168,0.868,460,617
24475,0.783,0.25,0.121,0.183,0.864,255,913
24476,0.783,0.25,0.121,0.193,0.86,396,1254
24477,0.781,0.292,0.106,0.193,0.856,756,1793
24478,0.781,0.414,0.091,0.193,0.851,325,801
24479,0.78,0.375,0.136,0.193,0.847,409,1382
24480,0.78,0.422,0.121,0.193,0.843,269,1608
24481,0.78,0.486,0.136,0.193,0.839,314,1778
24482,0.78,0.5,0.121,0.195,0.835,152,560
24483,0.78,0.45,0.076,0.198,0.831,412,1728
24484,0.78,0.339,0.091,0.204,0.827,302,1730
24485,0.779,0.283,0.152,0.211,0.823,742,819
24486,0.776,0.258,0.197,0.221,0.818,335,1833
24487,0.774,0.25,0.136,0.231,0.814,81,1913
24488,0.774,0.261,0.152,0.237,0.81,995,1802
24489,0.772,0.275,0.227,0.231,0.806,85,161
24490,0.769,0.272,0.288,0.221,0.802,237,605
24491,0.766,0.253,0.242,0.203,0.798,642,1093
24492,0.764,0.219,0.212,0.185,0.794,421,1667
24493,0.763,0.208,0.258,0.168,0.79,452,1122
24494,0.76,0.206,0.273,0.152,0.785,230,1236
24495,0.757,0.186,0.242,0.136,0.781,392,1707
24496,0.756,0.161,0.227,0.116,0.777,638,1557
24497,0.752,0.172,0.273,0.077,0.769,792,891
24498,0.75,0.192,0.212,0.061,0.765,182,1183
24499,0.748,0.239,0.182,0.043,0.761,115,393
24500,0.747,0.308,0.091,0.021,0.757,602,1355
24501,0.747,0.5,0.015,0.0,0.753,282,665
24502,0.747,0.839,0.061,0.021,0.748,525,594
24503,0.748,0.839,0.212,0.03,0.744,27,1795
24504,0.75,0.867,0.258,0.048,0.74,820,1740
24505,0.752,0.85,0.273,0.061,0.736,410,1655
24506,0.754,0.831,0.227,0.077,0.732,399,1228
24507,0.756,0.778,0.106,0.091,0.728,630,1803
24508,0.757,0.461,0.136,0.107,0.724,644,1356
24509,0.755,0.375,0.348,0.122,0.72,562,657
24510,0.752,0.361,0.439,0.137,0.716,511,1882
24511,0.748,0.356,0.439,0.122,0.712,954,1124
24512,0.745,0.361,0.409,0.107,0.707,869,1503
24513,0.742,0.361,0.409,0.091,0.703,646,1168
24514,0.739,0.35,0.485,0.077,0.699,914,1210
24515,0.735,0.344,0.515,0.061,0.695,127,1962
24516,0.73,0.358,0.439,0.043,0.691,299,1987
24517,0.728,0.375,0.303,0.021,0.687,576,1365
24518,0.725,0.314,0.091,0.0,0.683,359,574
24519,0.726,0.886,0.227,0.0,0.679,798,854
24520,0.729,0.869,0.394,0.021,0.675,700,1094
24521,0.732,0.872,0.424,0.03,0.671,128,506
24522,0.735,0.883,0.409,0.048,0.667,905,1997
24523,0.737,0.889,0.394,0.061,0.662,643,1971
24524,0.74,0.9,0.394,0.077,0.658,936,1136
24525,0.741,0.911,0.394,0.096,0.654,405,849
24526,0.743,0.911,0.379,0.107,0.65,631,952
24527,0.745,0.917,0.348,0.122,0.646,258,1114
24528,0.747,0.922,0.288,0.136,0.642,762,1183
24529,0.748,0.942,0.212,0.144,0.638,776,1552
24530,0.748,0.042,0.121,0.155,0.634,929,1352
24531,0.747,0.197,0.136,0.163,0.63,123,710
24532,0.746,0.258,0.197,0.173,0.626,656,953
24533,0.744,0.283,0.242,0.163,0.622,163,942
24534,0.741,0.294,0.227,0.156,0.618,408,1359
24535,0.74,0.294,0.212,0.152,0.614,961,1456
24536,0.738,0.283,0.212,0.144,0.61,62,1552
24537,0.736,0.269,0.212,0.136,0.606,124,502
24538,0.734,0.25,0.197,0.13,0.602,628,981
24539,0.732,0.228,0.182,0.129,0.598,640,1959
24540,0.73,0.219,0.167,0.129,0.594,205,513
24541,0.729,0.236,0.121,0.129,0.589,77,191
24542,0.729,0.125,0.015,0.129,0.585,98,1799
24543,0.729,0.864,0.076,0.13,0.581,60,295
24544,0.729,0.844,0.182,0.136,0.577,894,1744
24545,0.732,0.806,0.318,0.144,0.573,288,937
24546,0.735,0.789,0.348,0.155,0.569,659,1017
24547,0.739,0.778,0.318,0.163,0.565,720,1588
24548,0.741,0.867,0.106,0.173,0.561,658,988
24549,0.74,0.072,0.152,0.183,0.557,658,1749
24550,0.74,0.967,0.212,0.192,0.553,382,1000
24551,0.741,0.95,0.212,0.203,0.549,20,1869
24552,0.741,0.892,0.152,0.211,0.545,420,831
24553,0.742,0.778,0.182,0.221,0.541,322,1729
24554,0.744,0.75,0.136,0.231,0.537,779,1470
24555,0.745,0.75,0.076,0.24,0.533,819,1530
24556,0.745,0.0,0.0,0.251,0.529,237,1658
24557,0.745,0.25,0.03,0.262,0.525,371,1061
24558,0.745,0.3,0.03,0.275,0.521,52,1372
24559,0.744,0.375,0.03,0.288,0.517,854,1204
24560,0.744,0.281,0.061,0.298,0.513,48,1205
24561,0.743,0.25,0.121,0.308,0.509,878,1857
24562,0.742,0.25,0.076,0.317,0.505,209,552
24563,0.742,0.267,0.091,0.327,0.501,820,1332
24564,0.741,0.344,0.076,0.336,0.497,613,1375
24565,0.741,0.328,0.136,0.346,0.493,398,1274
24566,0.738,0.297,0.182,0.357,0.489,420,816
24567,0.737,0.375,0.045,0.369,0.485,513,1698
24568,0.738,0.25,0.076,0.382,0.482,932,1839
24569,0.736,0.161,0.091,0.396,0.478,529,1861
24570,0.736,0.069,0.106,0.41,0.474,766,1708
24571,0.735,0.125,0.197,0.425,0.47,363,1438
24572,0.734,0.114,0.212,0.423,0.466,435,502
24573,0.733,0.078,0.167,0.413,0.462,801,1102
24574,0.732,0.086,0.152,0.404,0.458,916,1956
24575,0.731,0.142,0.152,0.394,0.454,583,1676
24576,0.73,0.117,0.106,0.384,0.45,44,712
24577,0.73,0.147,0.106,0.375,0.446,480,1210
24578,0.729,0.228,0.182,0.365,0.442,838,1949
24579,0.727,0.225,0.091,0.356,0.438,563,1639
24580,0.727,0.156,0.045,0.344,0.434,834,1094
24581,0.726,0.211,0.061,0.322,0.431,367,1868
24582,0.726,0.0,0.0,0.301,0.427,304,1390
24583,0.726,0.25,0.061,0.279,0.423,123,862
24584,0.725,0.206,0.091,0.258,0.419,754,1454
24585,0.724,0.125,0.091,0.236,0.415,322,825
24586,0.723,0.144,0.121,0.215,0.411,845,1255
24587,0.723,0.161,0.136,0.193,0.407,856,944
24588,0.722,0.161,0.136,0.172,0.404,793,852
24589,0.72,0.156,0.152,0.15,0.4,263,1236
24590,0.719,0.169,0.182,0.129,0.396,651,1085
24591,0.717,0.181,0.197,0.107,0.392,551,1983
24592,0.716,0.208,0.167,0.086,0.388,367,439
24593,0.715,0.244,0.242,0.064,0.385,686,1644
24594,0.712,0.233,0.136,0.043,0.381,573,1772
24595,0.712,0.911,0.061,0.021,0.377,893,1289
24596,0.712,0.95,0.121,0.0,0.373,10,409
24597,0.713,0.881,0.197,0.021,0.37,87,1926
24598,0.715,0.875,0.212,0.03,0.366,548,915
24599,0.716,0.919,0.182,0.048,0.362,817,1370
24600,0.716,0.942,0.182,0.068,0.358,121,1624
24601,0.717,0.003,0.152,0.089,0.355,179,860
24602,0.716,0.078,0.136,0.11,0.351,923,1031
24603,0.715,0.069,0.076,0.13,0.347,529,1399
24604,0.715,0.022,0.03,0.152,0.344,571,577
24605,0.715,0.222,0.076,0.173,0.34,943,1705
24606,0.714,0.256,0.106,0.192,0.336,617,1862
24607,0.714,0.375,0.061,0.211,0.333,552,1576
24608,0.714,0.339,0.061,0.228,0.329,642,747
24609,0.712,0.208,0.106,0.24,0.325,475,825
24610,0.711,0.072,0.106,0.245,0.322,879,1149
24611,0.712,0.975,0.136,0.251,0.318,135,1481
24612,0.712,0.064,0.152,0.259,0.315,901,1116
24613,0.71,0.114,0.197,0.269,0.311,885,951
24614,0.709,0.081,0.121,0.28,0.307,347,1897
24615,0.71,0.175,0.061,0.292,0.304,76,1700
24616,0.709,0.278,0.106,0.305,0.3,448,1824
24617,0.708,0.3,0.091,0.313,0.297,584,839
24618,0.707,0.294,0.106,0.292,0.294,304,1653
24619,0.706,0.2,0.03,0.271,0.29,12,1016
24620,0.706,0.15,0.061,0.251,0.287,451,1222
24621,0.705,0.228,0.076,0.231,0.283,555,1986
24622,0.705,0.375,0.03,0.211,0.28,319,1172
24623,0.705,0.3,0.03,0.192,0.277,753,1844
24624,0.705,0.211,0.061,0.173,0.273,366,998
24625,0.704,0.178,0.106,0.155,0.27,744,817
24626,0.702,0.078,0.076,0.137,0.267,842,1534
24627,0.703,0.906,0.045,0.122,0.263,311,654
24628,0.703,0.156,0.045,0.107,0.26,634,1292
24629,0.702,0.219,0.121,0.096,0.257,514,1324
24630,0.701,0.258,0.121,0.089,0.254,421,650
24631,0.7,0.311,0.121,0.086,0.251,842,1966
24632,0.699,0.317,0.167,0.077,0.248,746,1036
24633,0.697,0.306,0.152,0.068,0.244,359,947
24634,0.696,0.264,0.076,0.064,0.241,770,1221
24635,0.696,0.228,0.045,0.064,0.238,464,1744
24636,0.696,0.211,0.061,0.064,0.235,471,1252
24637,0.695,0.108,0.045,0.068,0.233,983,1368
24638,0.695,0.7,0.03,0.064,0.23,645,1341
24639,0.695,0.531,0.121,0.064,0.227,494,860
24640,0.695,0.447,0.197,0.064,0.224,500,1576
24641,0.694,0.408,0.242,0.064,0.221,517,1034
24642,0.693,0.45,0.212,0.064,0.219,225,1124
24643,0.693,0.442,0.197,0.064,0.216,359,1687
24644,0.692,0.383,0.212,0.064,0.213,920,1122
24645,0.69,0.375,0.197,0.064,0.211,774,906
24646,0.689,0.392,0.136,0.064,0.208,984,1375
24647,0.688,0.419,0.106,0.061,0.206,783,1487
24648,0.688,0.494,0.091,0.048,0.203,821,1376
24649,0.688,0.433,0.121,0.043,0.201,955,1615
24650,0.687,0.381,0.182,0.043,0.199,778,1419
24651,0.686,0.367,0.197,0.043,0.197,353,1917
24652,0.685,0.347,0.212,0.043,0.194,700,743
24653,0.683,0.353,0.182,0.03,0.192,324,835
24654,0.681,0.431,0.152,0.021,0.19,976,1536
24655,0.682,0.461,0.182,0.021,0.189,164,568
24656,0.681,0.411,0.212,0.021,0.187,91,1259
24657,0.68,0.364,0.242,0.021,0.185,868,1086
24658,0.678,0.344,0.227,0.021,0.183,183,1526
24659,0.676,0.319,0.182,0.0,0.182,894,1258
24660,0.674,0.267,0.182,0.0,0.18,900,1200
24661,0.673,0.269,0.182,0.0,0.179,702,1936
24662,0.671,0.333,0.212,0.021,0.177,371,716
24663,0.67,0.372,0.258,0.021,0.176,587,1823
24664,0.668,0.375,0.258,0.021,0.175,877,1816
24665,0.666,0.369,0.152,0.021,0.174,506,1958
24666,0.666,0.231,0.091,0.0,0.173,354,1117
24667,0.665,0.053,0.136,0.0,0.172,698,1259
24668,0.665,0.939,0.212,0.0,0.171,769,1084
24669,0.666,0.969,0.212,0.021,0.17,843,1388
24670,0.666,0.975,0.212,0.03,0.17,276,1914
24671,0.667,0.933,0.227,0.048,0.169,647,1176
24672,0.667,0.969,0.182,0.061,0.169,406,993
24673,0.667,0.981,0.152,0.064,0.169,968,1198
24674,0.668,0.022,0.121,0.068,0.169,935,1232
24675,0.667,0.033,0.106,0.077,0.169,484,2000
24676,0.667,0.958,0.076,0.091,0.169,272,554
24677,0.668,0.108,0.045,0.107,0.169,896,1723
24678,0.667,0.189,0.045,0.116,0.169,736,1662
24679,0.667,0.35,0.03,0.125,0.169,325,1052
24680,0.665,0.364,0.212,0.198,0.173,516,1172
24681,0.663,0.356,0.212,0.211,0.174,840,1595
24682,0.662,0.392,0.136,0.221,0.175,92,902
24683,0.661,0.419,0.076,0.228,0.176,965,1940
24684,0.661,0.317,0.091,0.215,0.177,160,1241
24685,0.66,0.292,0.121,0.203,0.179,30,143
24686,0.659,0.272,0.106,0.192,0.18,485,1177
24687,0.658,0.258,0.152,0.183,0.182,236,1252
24688,0.657,0.283,0.121,0.177,0.183,647,1215
24689,0.656,0.3,0.076,0.173,0.184,952,1720
24690,0.656,0.261,0.091,0.172,0.18,467,1838
24691,0.654,0.281,0.076,0.163,0.176,615,1530
24692,0.654,0.328,0.121,0.152,0.172,833,1695
24693,0.652,0.369,0.167,0.137,0.168,295,1595
24694,0.652,0.419,0.167,0.125,0.164,369,895
24695,0.651,0.389,0.167,0.116,0.16,99,167
24696,0.65,0.425,0.121,0.107,0.155,839,1449
24697,0.65,0.578,0.121,0.096,0.151,139,307
24698,0.651,0.475,0.121,0.089,0.147,442,1797
24699,0.65,0.369,0.167,0.086,0.143,73,1263
24700,0.649,0.347,0.152,0.086,0.139,827,862
24701,0.647,0.317,0.091,0.086,0.135,871,1382
24702,0.647,0.425,0.03,0.086,0.131,641,1938
24703,0.647,0.436,0.061,0.086,0.126,381,575
24704,0.83,0.094,0.106,0.369,0.833,244,405
24705,0.829,0.033,0.121,0.352,0.835,690,1259
24706,0.83,0.036,0.197,0.336,0.837,580,758
24707,0.828,0.097,0.303,0.319,0.839,404,1316
24708,0.826,0.106,0.303,0.304,0.842,138,1165
24709,0.825,0.1,0.227,0.289,0.844,310,428
24710,0.824,0.089,0.136,0.275,0.846,589,749
24711,0.824,0.2,0.121,0.262,0.849,278,1281
24712,0.822,0.258,0.212,0.251,0.851,10,127
24713,0.82,0.264,0.227,0.24,0.854,432,866
24714,0.818,0.258,0.227,0.231,0.856,103,440
24715,0.816,0.25,0.273,0.224,0.859,611,893
24716,0.813,0.256,0.288,0.219,0.861,511,961
24717,0.81,0.286,0.152,0.215,0.863,345,352
24718,0.81,0.347,0.091,0.215,0.866,842,1561
24719,0.809,0.328,0.121,0.215,0.868,511,1999
24720,0.808,0.425,0.106,0.219,0.871,385,1619
24721,0.808,0.467,0.152,0.224,0.873,873,1676
24722,0.807,0.5,0.197,0.231,0.876,985,1358
24723,0.808,0.575,0.182,0.237,0.878,944,1534
24724,0.808,0.603,0.152,0.24,0.881,575,1905
24725,0.809,0.569,0.152,0.245,0.884,487,1666
24726,0.812,0.225,0.091,0.129,0.984,919,1776
24727,0.811,0.219,0.061,0.129,0.985,702,1272
24728,0.811,0.211,0.091,0.129,0.986,951,1285
24729,0.809,0.242,0.197,0.13,0.988,292,1739
24730,0.807,0.239,0.182,0.122,0.989,193,1374
24731,0.806,0.203,0.167,0.107,0.99,83,995
24732,0.804,0.147,0.106,0.091,0.992,732,1114
24733,0.804,0.186,0.106,0.077,0.993,233,1435
24734,0.802,0.222,0.121,0.068,0.995,931,1037
24735,0.802,0.175,0.106,0.064,0.993,287,615
24736,0.801,0.186,0.182,0.061,0.989,848,1393
24737,0.799,0.189,0.121,0.048,0.985,652,1797
24738,0.798,0.206,0.136,0.043,0.981,543,1448
24739,0.797,0.144,0.121,0.03,0.977,850,1885
24740,0.797,0.097,0.121,0.021,0.972,775,1719
24741,0.796,0.125,0.167,0.021,0.968,169,1378
24742,0.795,0.078,0.167,0.021,0.964,848,1730
24743,0.794,0.078,0.167,0.021,0.96,513,1173
24744,0.793,0.047,0.136,0.021,0.956,48,1173
24745,0.793,0.0,0.121,0.021,0.952,778,1791
24746,0.793,0.875,0.197,0.03,0.947,640,868
24747,0.796,0.886,0.212,0.043,0.943,592,704
24748,0.796,0.028,0.136,0.043,0.939,920,1536
24749,0.796,0.111,0.167,0.043,0.935,5,1496
24750,0.794,0.103,0.212,0.043,0.931,388,1926
24751,0.793,0.083,0.258,0.043,0.927,267,1540
24752,0.792,0.094,0.258,0.048,0.923,714,1955
24753,0.791,0.1,0.182,0.061,0.919,671,677
24754,0.79,0.125,0.106,0.064,0.914,266,1552
24755,0.789,0.875,0.03,0.068,0.91,731,1580
24756,0.79,0.711,0.061,0.077,0.906,263,718
24757,0.79,0.5,0.03,0.089,0.902,583,727
24758,0.79,0.289,0.061,0.096,0.898,532,727
24759,0.789,0.233,0.091,0.107,0.894,59,1172
24760,0.788,0.217,0.152,0.122,0.89,323,1869
24761,0.786,0.181,0.076,0.136,0.885,257,1898
24762,0.787,0.875,0.03,0.144,0.881,233,1476
24763,0.787,0.164,0.061,0.155,0.877,981,1105
24764,0.786,0.175,0.106,0.168,0.873,651,1244
24765,0.786,0.197,0.152,0.172,0.869,590,591
24766,0.784,0.222,0.136,0.172,0.865,68,507
24767,0.783,0.275,0.152,0.172,0.861,441,1687
24768,0.781,0.319,0.167,0.172,0.856,177,226
24769,0.78,0.397,0.152,0.172,0.852,798,1567
24770,0.78,0.408,0.167,0.172,0.848,782,1043
24771,0.779,0.425,0.167,0.172,0.844,422,508
24772,0.778,0.475,0.152,0.172,0.84,516,941
24773,0.778,0.539,0.136,0.173,0.836,789,1842
24774,0.779,0.5,0.121,0.177,0.832,697,1773
24775,0.778,0.417,0.136,0.183,0.828,822,1308
24776,0.777,0.358,0.152,0.192,0.824,523,1341
24777,0.776,0.297,0.167,0.203,0.819,346,1162
24778,0.774,0.267,0.136,0.211,0.815,706,1511
24779,0.771,0.239,0.227,0.211,0.807,789,876
24780,0.769,0.208,0.242,0.203,0.803,576,1127
24781,0.767,0.167,0.242,0.192,0.799,459,1421
24782,0.766,0.147,0.242,0.173,0.795,659,1184
24783,0.763,0.169,0.288,0.155,0.791,991,1752
24784,0.761,0.169,0.288,0.137,0.786,499,1229
24785,0.759,0.156,0.258,0.122,0.782,883,1915
24786,0.757,0.144,0.227,0.107,0.778,483,1524
24787,0.756,0.167,0.258,0.089,0.774,150,765
24788,0.753,0.192,0.288,0.068,0.77,531,814
24789,0.751,0.186,0.242,0.048,0.766,278,1219
24790,0.749,0.181,0.227,0.03,0.762,924,1924
24791,0.747,0.15,0.136,0.021,0.758,954,1388
24792,0.747,0.933,0.091,0.0,0.754,276,290
24793,0.747,0.875,0.167,0.021,0.749,943,1905
24794,0.749,0.844,0.258,0.043,0.745,190,1630
24795,0.752,0.842,0.242,0.061,0.741,89,971
24796,0.753,0.814,0.182,0.077,0.737,104,422
24797,0.755,0.656,0.106,0.091,0.733,186,1974
24798,0.755,0.472,0.212,0.107,0.729,835,1827
24799,0.754,0.431,0.364,0.122,0.725,265,1449
24800,0.752,0.397,0.47,0.136,0.721,325,881
24801,0.748,0.386,0.47,0.122,0.717,694,1239
24802,0.746,0.375,0.439,0.107,0.713,664,1196
24803,0.742,0.375,0.439,0.091,0.708,378,1141
24804,0.74,0.375,0.47,0.077,0.704,663,1966
24805,0.735,0.361,0.515,0.061,0.7,990,1912
24806,0.731,0.356,0.5,0.048,0.696,818,930
24807,0.727,0.369,0.364,0.03,0.692,952,1561
24808,0.725,0.406,0.106,0.021,0.688,562,1574
24809,0.726,0.861,0.182,0.0,0.684,909,1557
24810,0.729,0.869,0.348,0.021,0.68,373,1858
24811,0.731,0.864,0.409,0.03,0.676,594,1101
24812,0.735,0.864,0.424,0.048,0.672,378,444
24813,0.737,0.881,0.409,0.061,0.668,146,502
24814,0.74,0.889,0.409,0.077,0.664,503,1588
24815,0.742,0.894,0.409,0.091,0.66,577,728
24816,0.745,0.908,0.394,0.107,0.655,342,636
24817,0.747,0.919,0.394,0.125,0.651,726,1802
24818,0.748,0.936,0.348,0.137,0.647,342,1170
24819,0.749,0.953,0.288,0.152,0.643,786,1481
24820,0.75,0.989,0.242,0.163,0.639,69,1366
24821,0.749,0.103,0.212,0.173,0.635,681,876
24822,0.748,0.211,0.227,0.183,0.631,992,1681
24823,0.745,0.264,0.242,0.192,0.627,532,1225
24824,0.743,0.278,0.258,0.183,0.623,415,1469
24825,0.741,0.281,0.227,0.177,0.619,887,1706
24826,0.739,0.272,0.182,0.173,0.615,110,498
24827,0.737,0.247,0.182,0.163,0.611,121,1704
24828,0.736,0.222,0.197,0.156,0.607,95,1564
24829,0.734,0.2,0.182,0.152,0.603,224,232
24830,0.733,0.175,0.182,0.15,0.599,443,1639
24831,0.731,0.164,0.182,0.15,0.595,675,1562
24832,0.729,0.167,0.182,0.15,0.591,639,1887
24833,0.728,0.017,0.061,0.15,0.587,719,922
24834,0.729,0.836,0.121,0.152,0.583,996,1873
24835,0.73,0.825,0.197,0.156,0.579,610,735
24836,0.733,0.792,0.273,0.163,0.575,854,1637
24837,0.735,0.758,0.288,0.173,0.571,668,1546
24838,0.738,0.733,0.288,0.183,0.567,919,1477
24839,0.741,0.736,0.136,0.192,0.563,70,1298
24840,0.741,0.933,0.091,0.203,0.559,583,1449
24841,0.741,0.917,0.197,0.211,0.555,179,732
24842,0.742,0.989,0.182,0.231,0.547,28,1002
24843,0.742,0.875,0.136,0.24,0.543,634,792
24844,0.744,0.783,0.121,0.251,0.539,348,1579
24845,0.745,0.775,0.091,0.259,0.534,354,1912
24846,0.746,0.0,0.03,0.269,0.531,930,1803
24847,0.745,0.125,0.045,0.28,0.527,439,770
24848,0.745,0.108,0.045,0.292,0.523,152,170
24849,0.744,0.125,0.045,0.305,0.519,613,1443
24850,0.745,0.258,0.076,0.317,0.515,626,1346
24851,0.743,0.286,0.121,0.327,0.511,963,1227
24852,0.742,0.3,0.076,0.336,0.507,885,929
24853,0.741,0.292,0.121,0.346,0.503,997,1139
24854,0.74,0.325,0.091,0.356,0.499,30,1113
24855,0.74,0.294,0.121,0.365,0.495,45,1290
24856,0.738,0.261,0.152,0.376,0.491,944,1456
24857,0.737,0.3,0.03,0.387,0.487,536,1265
24858,0.737,0.275,0.045,0.399,0.483,709,776
24859,0.736,0.106,0.045,0.412,0.479,950,1904
24860,0.737,0.069,0.061,0.423,0.475,430,1839
24861,0.736,0.172,0.121,0.413,0.471,211,1725
24862,0.735,0.158,0.152,0.404,0.467,545,789
24863,0.734,0.1,0.136,0.394,0.463,661,1342
24864,0.734,0.089,0.152,0.384,0.459,916,1729
24865,0.732,0.136,0.197,0.375,0.456,976,1315
24866,0.73,0.144,0.121,0.365,0.452,832,858
24867,0.73,0.222,0.121,0.356,0.448,846,1494
24868,0.729,0.239,0.182,0.346,0.444,136,900
24869,0.727,0.147,0.076,0.336,0.44,904,938
24870,0.728,0.181,0.076,0.327,0.436,698,1626
24871,0.726,0.278,0.106,0.319,0.432,11,697
24872,0.726,0.469,0.061,0.301,0.428,25,590
24873,0.726,0.375,0.106,0.279,0.425,702,1289
24874,0.724,0.422,0.076,0.258,0.421,105,730
24875,0.725,0.125,0.015,0.236,0.417,790,853
24876,0.724,0.175,0.106,0.215,0.413,616,656
24877,0.723,0.206,0.136,0.193,0.409,408,446
24878,0.722,0.194,0.106,0.172,0.405,657,703
24879,0.722,0.169,0.121,0.15,0.402,905,1787
24880,0.72,0.197,0.182,0.129,0.398,922,1294
24881,0.719,0.197,0.182,0.107,0.394,498,762
24882,0.717,0.208,0.212,0.086,0.39,222,1311
24883,0.714,0.231,0.273,0.064,0.386,652,1395
24884,0.712,0.169,0.106,0.043,0.383,141,1077
24885,0.713,0.889,0.106,0.021,0.379,886,1802
24886,0.713,0.911,0.091,0.0,0.375,25,570
24887,0.714,0.825,0.167,0.021,0.372,884,1905
24888,0.716,0.831,0.182,0.043,0.368,353,641
24889,0.716,0.875,0.152,0.061,0.364,983,1275
24890,0.718,0.925,0.136,0.077,0.36,771,1014
24891,0.718,0.044,0.106,0.096,0.357,150,1228
24892,0.717,0.131,0.121,0.116,0.353,992,1501
24893,0.716,0.117,0.106,0.136,0.349,527,746
24894,0.716,0.075,0.061,0.156,0.346,334,1213
24895,0.716,0.186,0.091,0.177,0.342,535,632
24896,0.714,0.233,0.136,0.198,0.338,467,1129
24897,0.713,0.281,0.076,0.219,0.335,956,1016
24898,0.713,0.25,0.0,0.24,0.331,627,1404
24899,0.713,0.078,0.076,0.258,0.328,272,756
24900,0.713,0.05,0.091,0.266,0.324,879,1087
24901,0.713,0.981,0.061,0.271,0.32,280,1780
24902,0.713,0.15,0.061,0.279,0.317,998,1635
24903,0.712,0.214,0.136,0.288,0.313,472,756
24904,0.71,0.244,0.121,0.298,0.31,454,1509
24905,0.709,0.3,0.121,0.31,0.306,670,1588
24906,0.707,0.331,0.106,0.322,0.303,558,890
24907,0.707,0.322,0.091,0.308,0.299,291,335
24908,0.706,0.231,0.061,0.286,0.296,728,1068
24909,0.706,0.956,0.061,0.266,0.293,294,948
24910,0.707,0.142,0.091,0.245,0.289,912,1592
24911,0.705,0.228,0.121,0.224,0.286,266,1255
24912,0.705,0.339,0.045,0.204,0.282,182,587
24913,0.705,0.414,0.061,0.183,0.279,185,1523
24914,0.704,0.406,0.076,0.163,0.276,897,1876
24915,0.704,0.364,0.061,0.144,0.273,595,1474
24916,0.703,0.25,0.015,0.125,0.269,988,1019
24917,0.703,0.375,0.015,0.107,0.266,993,1863
24918,0.703,0.356,0.076,0.091,0.263,591,697
24919,0.702,0.339,0.167,0.077,0.26,546,1807
24920,0.701,0.35,0.197,0.068,0.257,293,1631
24921,0.699,0.369,0.197,0.064,0.253,957,1635
24922,0.698,0.358,0.182,0.061,0.25,209,866
24923,0.696,0.356,0.121,0.048,0.247,594,1836
24924,0.696,0.375,0.076,0.043,0.244,745,1009
24925,0.695,0.356,0.076,0.043,0.241,772,1063
24926,0.695,0.397,0.076,0.043,0.239,209,733
24927,0.695,0.433,0.076,0.048,0.236,250,1460
24928,0.695,0.417,0.121,0.043,0.233,464,856
24929,0.694,0.436,0.182,0.043,0.23,7,1223
24930,0.693,0.439,0.212,0.043,0.227,913,1105
24931,0.692,0.419,0.197,0.043,0.225,118,826
24932,0.691,0.431,0.167,0.043,0.222,139,1460
24933,0.691,0.439,0.167,0.043,0.219,537,1830
24934,0.69,0.389,0.167,0.043,0.217,991,1636
24935,0.689,0.35,0.106,0.043,0.214,986,1373
24936,0.688,0.258,0.061,0.043,0.212,374,592
24937,0.688,0.267,0.076,0.043,0.209,422,507
24938,0.688,0.425,0.061,0.03,0.207,20,753
24939,0.688,0.392,0.136,0.021,0.205,779,1459
24940,0.686,0.372,0.197,0.021,0.202,899,1585
24941,0.685,0.381,0.197,0.021,0.2,540,1749
24942,0.683,0.353,0.167,0.021,0.198,32,879
24943,0.682,0.319,0.136,0.021,0.196,944,1174
24944,0.681,0.317,0.091,0.0,0.194,44,1120
24945,0.68,0.353,0.076,0.0,0.192,554,652
24946,0.68,0.297,0.091,0.0,0.191,700,1127
24947,0.679,0.247,0.167,0.0,0.189,319,1076
24948,0.677,0.211,0.152,0.0,0.187,45,840
24949,0.676,0.181,0.152,0.0,0.185,496,851
24950,0.675,0.231,0.197,0.021,0.184,116,660
24951,0.673,0.286,0.258,0.021,0.183,645,1503
24952,0.67,0.322,0.288,0.03,0.181,620,679
24953,0.668,0.347,0.258,0.021,0.18,351,1891
24954,0.666,0.358,0.152,0.0,0.179,421,1272
24955,0.666,0.975,0.121,0.0,0.177,476,519
24956,0.666,0.969,0.182,0.021,0.176,82,1807
24957,0.667,0.931,0.242,0.021,0.175,495,1579
24958,0.668,0.969,0.227,0.03,0.175,496,1638
24959,0.668,0.975,0.227,0.048,0.174,293,734
24960,0.669,0.953,0.227,0.061,0.174,976,1071
24961,0.669,0.011,0.167,0.077,0.173,991,1061
24962,0.669,0.042,0.106,0.086,0.173,879,1011
24963,0.669,0.039,0.091,0.089,0.173,748,1561
24964,0.668,0.044,0.106,0.096,0.173,281,656
24965,0.668,0.047,0.091,0.107,0.173,245,1673
24966,0.667,0.147,0.076,0.122,0.173,278,1630
24967,0.667,0.222,0.061,0.136,0.173,259,1491
24968,0.66,0.333,0.121,0.185,0.183,567,583
24969,0.659,0.311,0.076,0.173,0.184,608,612
24970,0.658,0.253,0.152,0.163,0.185,300,477
24971,0.656,0.261,0.136,0.156,0.187,363,1414
24972,0.656,0.311,0.076,0.152,0.185,496,1384
24973,0.655,0.317,0.091,0.15,0.181,110,580
24974,0.654,0.333,0.121,0.144,0.177,823,1541
