id,t,u,v,w,x,y,z,time_in,time_out
32509,0.735,0.375,0.03,0.0,0.523,0.874,0.937,825,960
32510,0.735,0.161,0.061,0.0,0.52,0.878,0.906,195,570
32511,0.734,0.125,0.152,0.0,0.516,0.878,0.858,789,1789
32512,0.733,0.039,0.152,0.0,0.513,0.827,0.858,796,848
32513,0.733,0.989,0.152,0.021,0.509,0.803,0.874,945,1763
32514,0.733,0.0,0.136,0.021,0.505,0.811,0.874,6,1975
32515,0.733,0.961,0.152,0.021,0.502,0.787,0.878,344,362
32516,0.734,0.028,0.182,0.03,0.498,0.815,0.85,612,1717
32517,0.733,0.047,0.197,0.043,0.495,0.819,0.831,209,466
32518,0.733,0.983,0.212,0.048,0.491,0.772,0.846,864,1734
32519,0.733,0.047,0.197,0.061,0.488,0.819,0.831,698,1823
32520,0.732,0.025,0.167,0.068,0.484,0.819,0.862,499,1842
32521,0.733,0.031,0.091,0.077,0.481,0.843,0.898,225,1601
32522,0.731,0.125,0.03,0.089,0.477,0.866,0.921,974,1432
32523,0.733,0.0,0.0,0.096,0.474,0.858,0.937,570,1359
32524,0.731,0.206,0.091,0.107,0.47,0.898,0.898,276,1210
32525,0.73,0.936,0.061,0.116,0.466,0.835,0.921,152,1040
32526,0.732,0.939,0.045,0.125,0.463,0.843,0.925,769,1663
32527,0.73,0.156,0.076,0.136,0.46,0.882,0.898,574,673
32528,0.73,0.103,0.106,0.144,0.456,0.866,0.882,99,1455
32529,0.729,0.019,0.091,0.155,0.453,0.839,0.898,254,1594
32530,0.73,0.0,0.076,0.163,0.449,0.835,0.906,459,546
32531,0.729,0.125,0.121,0.173,0.446,0.878,0.878,921,946
32532,0.729,0.125,0.091,0.177,0.443,0.874,0.89,381,1232
32533,0.729,0.203,0.076,0.183,0.439,0.89,0.906,990,1229
32534,0.728,0.236,0.136,0.192,0.436,0.917,0.886,39,239
32535,0.726,0.175,0.061,0.193,0.432,0.882,0.909,343,1048
32536,0.726,0.0,0.015,0.195,0.429,0.854,0.929,327,1618
32537,0.726,0.289,0.091,0.198,0.426,0.906,0.917,770,883
32538,0.724,0.297,0.091,0.185,0.423,0.906,0.917,938,1551
32539,0.724,0.278,0.061,0.173,0.419,0.894,0.921,243,1630
32540,0.723,0.264,0.076,0.163,0.416,0.902,0.913,372,570
32541,0.723,0.261,0.106,0.155,0.413,0.913,0.902,187,1390
32542,0.721,0.281,0.121,0.144,0.41,0.917,0.906,35,1234
32543,0.721,0.356,0.091,0.136,0.406,0.906,0.929,492,1069
32544,0.721,0.383,0.091,0.125,0.403,0.906,0.937,825,1280
32545,0.72,0.311,0.136,0.116,0.4,0.925,0.909,288,1256
32546,0.718,0.286,0.121,0.107,0.397,0.917,0.906,481,1273
32547,0.718,0.308,0.121,0.096,0.394,0.921,0.909,576,1417
32548,0.716,0.361,0.106,0.089,0.391,0.913,0.929,569,1255
32549,0.716,0.5,0.061,0.086,0.388,0.87,0.953,2,1185
32550,0.716,0.408,0.076,0.086,0.385,0.894,0.941,833,926
32551,0.715,0.383,0.106,0.077,0.382,0.909,0.937,678,1397
32552,0.715,0.417,0.136,0.068,0.379,0.917,0.945,407,1628
32553,0.714,0.444,0.182,0.064,0.376,0.913,0.953,486,1675
32554,0.714,0.453,0.182,0.064,0.373,0.909,0.957,179,1807
32555,0.713,0.508,0.136,0.064,0.37,0.878,0.969,81,1640
32556,0.714,0.522,0.106,0.068,0.367,0.87,0.965,196,216
32557,0.714,0.464,0.091,0.077,0.364,0.886,0.953,925,1896
32558,0.714,0.411,0.091,0.086,0.361,0.898,0.945,16,818
32559,0.713,0.325,0.121,0.077,0.358,0.925,0.913,119,723
32560,0.712,0.328,0.152,0.068,0.355,0.937,0.909,848,1488
32561,0.71,0.331,0.212,0.061,0.353,0.961,0.894,11,880
32562,0.708,0.336,0.273,0.048,0.35,0.976,0.878,100,934
32563,0.706,0.367,0.258,0.043,0.347,0.965,0.898,180,1307
32564,0.704,0.383,0.258,0.03,0.344,0.961,0.913,253,941
32565,0.702,0.381,0.242,0.021,0.342,0.957,0.917,593,1190
32566,0.701,0.386,0.152,0.021,0.339,0.925,0.933,640,822
32567,0.701,0.464,0.061,0.0,0.336,0.878,0.949,316,451
32568,0.701,0.45,0.061,0.0,0.334,0.878,0.945,692,1581
32569,0.7,0.267,0.03,0.0,0.331,0.878,0.929,177,509
32570,0.7,0.953,0.091,0.021,0.329,0.815,0.906,932,1210
32571,0.701,0.897,0.212,0.021,0.326,0.728,0.886,357,1334
32572,0.703,0.911,0.242,0.03,0.324,0.701,0.862,358,993
32573,0.703,0.994,0.242,0.048,0.321,0.764,0.823,153,844
32574,0.703,0.011,0.227,0.061,0.319,0.783,0.827,664,775
32575,0.703,0.0,0.182,0.077,0.317,0.799,0.858,591,1313
32576,0.703,0.086,0.152,0.091,0.315,0.858,0.858,621,1253
32577,0.702,0.164,0.182,0.107,0.312,0.902,0.846,904,1283
32578,0.7,0.164,0.121,0.11,0.31,0.894,0.878,570,1059
32579,0.7,0.114,0.076,0.116,0.308,0.866,0.902,536,1865
32580,0.699,0.075,0.091,0.125,0.306,0.854,0.89,559,1110
32581,0.699,0.975,0.136,0.129,0.304,0.803,0.886,211,248
32582,0.7,0.947,0.182,0.129,0.302,0.764,0.874,734,1510
32583,0.7,0.939,0.197,0.129,0.3,0.756,0.874,313,1421
32584,0.701,0.947,0.136,0.129,0.298,0.795,0.898,548,1556
32585,0.701,0.956,0.045,0.13,0.296,0.839,0.921,987,1339
32586,0.702,0.875,0.015,0.136,0.294,0.854,0.933,467,1848
32587,0.701,0.236,0.076,0.144,0.292,0.898,0.909,433,1387
32588,0.7,0.214,0.167,0.137,0.291,0.921,0.862,423,1129
32589,0.698,0.183,0.121,0.122,0.289,0.902,0.882,702,1110
32590,0.698,0.2,0.076,0.107,0.287,0.89,0.906,642,1113
32591,0.697,0.222,0.106,0.096,0.286,0.906,0.898,209,469
32592,0.696,0.2,0.167,0.089,0.284,0.917,0.858,474,638
32593,0.694,0.208,0.258,0.077,0.283,0.941,0.807,0,1928
32594,0.691,0.242,0.318,0.068,0.281,0.965,0.795,603,812
32595,0.688,0.289,0.333,0.061,0.28,0.988,0.811,14,568
32596,0.685,0.331,0.348,0.048,0.279,0.992,0.839,516,1463
32597,0.682,0.347,0.318,0.03,0.277,0.984,0.866,156,1032
32598,0.68,0.311,0.227,0.021,0.276,0.965,0.878,96,963
32599,0.677,0.158,0.121,0.0,0.275,0.89,0.878,786,1729
32600,0.678,0.914,0.197,0.0,0.274,0.736,0.878,666,1841
32601,0.68,0.892,0.258,0.021,0.273,0.689,0.874,807,1117
32602,0.681,0.925,0.227,0.03,0.272,0.724,0.866,257,657
32603,0.682,0.0,0.242,0.043,0.271,0.768,0.823,622,968
32604,0.681,0.061,0.288,0.043,0.268,0.807,0.776,982,1472
32605,0.68,0.081,0.273,0.043,0.264,0.831,0.78,225,514
32606,0.679,0.064,0.212,0.048,0.26,0.835,0.827,284,1044
32607,0.679,0.075,0.167,0.061,0.256,0.85,0.85,167,813
32608,0.677,0.083,0.152,0.068,0.253,0.854,0.858,160,1868
32609,0.677,0.964,0.167,0.077,0.249,0.78,0.874,537,1295
32610,0.678,0.931,0.227,0.091,0.245,0.724,0.858,161,750
32611,0.679,0.961,0.212,0.107,0.242,0.752,0.854,191,244
32612,0.679,0.0,0.167,0.116,0.234,0.803,0.866,845,1908
32613,0.679,0.981,0.152,0.125,0.231,0.799,0.878,312,1943
32614,0.679,0.081,0.167,0.137,0.227,0.85,0.854,472,1670
32615,0.678,0.131,0.227,0.152,0.223,0.882,0.807,71,1598
32616,0.676,0.092,0.197,0.163,0.22,0.854,0.835,212,1805
32617,0.676,0.05,0.136,0.173,0.216,0.839,0.866,542,1857
32618,0.675,0.086,0.152,0.185,0.213,0.858,0.858,852,1511
32619,0.674,0.111,0.197,0.198,0.209,0.87,0.835,980,1374
32620,0.673,0.128,0.227,0.211,0.206,0.882,0.815,174,1067
32621,0.671,0.122,0.197,0.221,0.202,0.874,0.827,42,1273
32622,0.671,0.1,0.182,0.231,0.199,0.862,0.835,781,1920
32623,0.67,0.075,0.197,0.236,0.196,0.843,0.835,406,840
32624,0.669,0.039,0.182,0.236,0.192,0.823,0.85,216,1473
32625,0.669,0.992,0.121,0.236,0.189,0.815,0.89,514,1897
32626,0.669,0.917,0.061,0.236,0.186,0.827,0.925,65,1667
32627,0.669,0.219,0.03,0.236,0.182,0.874,0.921,502,504
32628,0.668,0.244,0.121,0.236,0.179,0.917,0.894,874,1231
32629,0.667,0.233,0.106,0.236,0.176,0.906,0.898,212,946
32630,0.667,0.175,0.061,0.237,0.173,0.882,0.909,90,1279
32631,0.666,0.183,0.136,0.24,0.17,0.902,0.878,510,1092
32632,0.664,0.189,0.212,0.245,0.167,0.917,0.835,999,1510
32633,0.663,0.142,0.197,0.251,0.164,0.89,0.831,371,1349
32634,0.661,0.044,0.167,0.259,0.161,0.831,0.854,362,1332
32635,0.662,0.042,0.136,0.269,0.158,0.835,0.87,766,1786
32636,0.661,0.153,0.152,0.279,0.155,0.89,0.862,704,1631
32637,0.659,0.197,0.136,0.288,0.153,0.909,0.874,714,1023
32638,0.658,0.217,0.121,0.298,0.15,0.909,0.89,646,1367
32639,0.657,0.192,0.106,0.308,0.148,0.894,0.894,516,1415
32640,0.657,0.175,0.121,0.317,0.145,0.898,0.878,157,1120
32641,0.655,0.183,0.152,0.328,0.143,0.906,0.866,908,1680
32642,0.654,0.103,0.076,0.334,0.14,0.866,0.902,561,1695
32643,0.655,0.125,0.076,0.339,0.138,0.874,0.898,199,215
32644,0.654,0.186,0.167,0.347,0.136,0.909,0.858,362,1834
32645,0.652,0.169,0.182,0.356,0.134,0.906,0.846,391,812
32646,0.65,0.15,0.197,0.365,0.132,0.894,0.835,989,1197
32647,0.649,0.139,0.182,0.375,0.13,0.886,0.843,136,1635
32648,0.648,0.119,0.136,0.364,0.128,0.874,0.866,499,1736
32649,0.647,0.089,0.091,0.347,0.127,0.862,0.894,929,1360
32650,0.647,0.153,0.121,0.327,0.124,0.886,0.878,108,1153
32651,0.825,0.075,0.106,0.156,0.655,0.858,0.886,487,1918
32652,0.825,0.919,0.136,0.136,0.657,0.787,0.906,992,1741
32653,0.826,0.956,0.121,0.116,0.659,0.799,0.894,346,1205
32654,0.826,0.144,0.167,0.096,0.66,0.89,0.854,29,190
32655,0.824,0.158,0.167,0.077,0.662,0.898,0.85,910,1623
32656,0.823,0.075,0.106,0.061,0.664,0.858,0.886,643,1029
32657,0.823,0.039,0.091,0.048,0.666,0.846,0.898,693,1149
32658,0.822,0.936,0.121,0.043,0.667,0.799,0.902,945,1779
32659,0.824,0.989,0.182,0.048,0.669,0.791,0.862,55,1302
32660,0.823,0.0,0.212,0.061,0.671,0.783,0.839,684,1098
32661,0.824,0.875,0.258,0.077,0.673,0.681,0.882,923,1482
32662,0.826,0.85,0.227,0.091,0.675,0.697,0.906,750,1295
32663,0.827,0.853,0.136,0.107,0.677,0.768,0.925,100,296
32664,0.828,0.022,0.03,0.125,0.679,0.854,0.925,962,1301
32665,0.827,0.25,0.106,0.144,0.681,0.909,0.902,449,1540
32666,0.826,0.281,0.136,0.163,0.683,0.925,0.898,849,1734
32667,0.825,0.297,0.197,0.183,0.685,0.953,0.878,693,1589
32668,0.823,0.292,0.167,0.198,0.687,0.945,0.89,14,1648
32669,0.822,0.25,0.136,0.215,0.689,0.925,0.886,566,1344
32670,0.82,0.211,0.182,0.213,0.691,0.925,0.854,336,1682
32671,0.819,0.156,0.152,0.198,0.693,0.894,0.858,925,1493
32672,0.818,0.106,0.121,0.183,0.695,0.866,0.874,315,1325
32673,0.817,0.058,0.121,0.168,0.697,0.846,0.878,249,1965
32674,0.817,0.997,0.167,0.152,0.699,0.803,0.866,57,1596
32675,0.817,0.0,0.182,0.137,0.701,0.795,0.854,494,1834
32676,0.817,0.086,0.197,0.125,0.703,0.85,0.827,404,1829
32677,0.815,0.133,0.242,0.116,0.706,0.886,0.795,830,919
32678,0.814,0.158,0.303,0.107,0.708,0.906,0.764,361,1562
32679,0.81,0.189,0.379,0.091,0.71,0.929,0.72,373,1806
32680,0.807,0.183,0.364,0.077,0.712,0.925,0.732,147,1815
32681,0.804,0.175,0.364,0.061,0.714,0.917,0.72,926,1301
32682,0.801,0.161,0.348,0.048,0.717,0.902,0.724,934,1959
32683,0.798,0.144,0.333,0.03,0.719,0.886,0.732,779,913
32684,0.796,0.167,0.364,0.021,0.721,0.909,0.72,537,1864
32685,0.792,0.192,0.318,0.0,0.724,0.933,0.76,298,559
32686,0.79,0.239,0.197,0.0,0.726,0.941,0.854,639,1342
32687,0.789,0.375,0.091,0.021,0.728,0.906,0.933,627,1264
32688,0.789,0.517,0.091,0.03,0.731,0.87,0.965,894,1840
32689,0.789,0.494,0.136,0.048,0.733,0.882,0.969,731,1131
32690,0.789,0.425,0.197,0.061,0.736,0.925,0.945,616,951
32691,0.787,0.408,0.242,0.077,0.738,0.941,0.933,727,736
32692,0.786,0.433,0.242,0.089,0.74,0.929,0.945,310,1098
32693,0.786,0.431,0.242,0.096,0.743,0.933,0.945,663,1222
32694,0.785,0.45,0.212,0.107,0.745,0.917,0.957,270,1020
32695,0.785,0.464,0.197,0.122,0.748,0.906,0.961,919,1275
32696,0.784,0.464,0.197,0.136,0.75,0.906,0.961,903,1166
32697,0.784,0.425,0.212,0.144,0.753,0.929,0.945,242,1198
32698,0.782,0.431,0.197,0.15,0.755,0.925,0.949,457,1852
32699,0.782,0.481,0.152,0.15,0.758,0.89,0.965,768,1195
32700,0.781,0.447,0.152,0.152,0.76,0.906,0.957,410,840
32701,0.781,0.522,0.136,0.156,0.763,0.87,0.972,393,1213
32702,0.782,0.547,0.136,0.163,0.766,0.858,0.976,860,1077
32703,0.782,0.453,0.167,0.173,0.768,0.909,0.957,748,767
32704,0.781,0.447,0.182,0.183,0.771,0.913,0.957,513,1257
32705,0.781,0.575,0.167,0.192,0.774,0.839,0.984,548,818
32706,0.783,0.603,0.152,0.193,0.776,0.823,0.984,343,1248
32707,0.783,0.475,0.152,0.195,0.779,0.894,0.965,84,1082
32708,0.782,0.481,0.136,0.198,0.782,0.89,0.965,250,872
32709,0.782,0.528,0.076,0.204,0.784,0.866,0.961,828,1638
32710,0.782,0.647,0.106,0.211,0.787,0.819,0.972,856,1749
32711,0.784,0.592,0.167,0.219,0.79,0.827,0.984,199,943
32712,0.784,0.517,0.212,0.224,0.792,0.874,0.98,261,1374
32713,0.785,0.533,0.212,0.231,0.795,0.858,0.984,273,1230
32714,0.784,0.594,0.152,0.251,0.801,0.831,0.984,528,1497
32715,0.786,0.625,0.167,0.262,0.803,0.811,0.984,224,290
32716,0.786,0.625,0.182,0.275,0.806,0.803,0.988,389,1205
32717,0.789,0.65,0.227,0.288,0.809,0.76,0.992,51,1127
32718,0.79,0.597,0.182,0.298,0.812,0.819,0.988,3,694
32719,0.791,0.578,0.212,0.31,0.815,0.827,0.992,898,1356
32720,0.792,0.536,0.242,0.322,0.817,0.854,0.988,861,1214
32721,0.792,0.528,0.258,0.336,0.82,0.858,0.988,180,782
32722,0.792,0.575,0.273,0.349,0.823,0.807,1.0,206,1545
32723,0.794,0.583,0.258,0.364,0.826,0.807,1.0,754,1207
32724,0.795,0.525,0.197,0.352,0.829,0.866,0.984,301,494
32725,0.794,0.569,0.197,0.336,0.832,0.835,0.988,8,1562
32726,0.796,0.608,0.197,0.319,0.835,0.807,0.992,24,1546
32727,0.797,0.625,0.197,0.304,0.838,0.795,0.992,312,1939
32728,0.798,0.644,0.182,0.289,0.841,0.791,0.988,317,1350
32729,0.799,0.644,0.121,0.273,0.844,0.815,0.976,428,1275
32730,0.8,0.669,0.182,0.258,0.847,0.776,0.984,251,1897
32731,0.802,0.653,0.167,0.243,0.85,0.787,0.984,546,858
32732,0.802,0.619,0.152,0.228,0.852,0.815,0.984,602,931
32733,0.804,0.544,0.167,0.198,0.856,0.854,0.98,850,1556
32734,0.805,0.5,0.152,0.183,0.857,0.882,0.972,725,884
32735,0.804,0.397,0.212,0.168,0.858,0.941,0.929,264,954
32736,0.802,0.4,0.212,0.152,0.859,0.941,0.933,140,324
32737,0.802,0.547,0.167,0.137,0.86,0.854,0.984,708,1787
32738,0.804,0.569,0.197,0.122,0.861,0.835,0.988,875,1905
32739,0.804,0.536,0.197,0.107,0.862,0.858,0.984,64,205
32740,0.804,0.511,0.182,0.091,0.863,0.878,0.976,341,481
32741,0.804,0.431,0.197,0.077,0.864,0.925,0.949,775,1003
32742,0.802,0.461,0.227,0.048,0.866,0.913,0.961,8,1269
32743,0.802,0.433,0.212,0.03,0.867,0.925,0.949,314,1394
32744,0.801,0.45,0.152,0.021,0.868,0.906,0.957,458,568
32745,0.801,0.594,0.106,0.0,0.869,0.843,0.972,983,996
32746,0.804,0.736,0.136,0.03,0.871,0.78,0.961,759,1317
32747,0.804,0.672,0.076,0.048,0.873,0.831,0.957,411,1640
32748,0.804,0.55,0.076,0.068,0.874,0.858,0.961,966,1443
32749,0.804,0.55,0.106,0.089,0.875,0.858,0.969,166,1359
32750,0.804,0.436,0.121,0.11,0.876,0.902,0.949,206,685
32751,0.804,0.469,0.121,0.13,0.877,0.89,0.961,906,1515
32752,0.804,0.486,0.076,0.152,0.879,0.878,0.957,372,1301
32753,0.804,0.311,0.121,0.173,0.88,0.925,0.909,13,1077
32754,0.802,0.5,0.045,0.195,0.881,0.87,0.949,683,1061
32755,0.804,0.608,0.045,0.215,0.882,0.85,0.957,741,797
32756,0.802,0.375,0.076,0.237,0.884,0.898,0.937,649,1442
32757,0.802,0.436,0.106,0.258,0.885,0.898,0.949,708,1855
32758,0.802,0.45,0.121,0.28,0.886,0.898,0.953,35,1395
32759,0.802,0.461,0.061,0.301,0.888,0.878,0.949,147,1095
32760,0.802,0.339,0.061,0.323,0.889,0.898,0.929,531,1582
32761,0.801,0.411,0.091,0.344,0.891,0.898,0.945,683,750
32762,0.801,0.433,0.091,0.346,0.892,0.898,0.949,928,1622
32763,0.8,0.417,0.076,0.344,0.893,0.894,0.945,259,1297
32764,0.8,0.386,0.076,0.344,0.895,0.894,0.937,874,1365
32765,0.799,0.339,0.061,0.344,0.896,0.898,0.929,157,187
32766,0.799,0.758,0.076,0.344,0.898,0.815,0.949,574,1449
32767,0.801,0.831,0.03,0.344,0.899,0.835,0.937,840,1188
32768,0.8,0.286,0.076,0.344,0.901,0.902,0.917,87,389
32769,0.799,0.281,0.106,0.344,0.902,0.917,0.906,844,1515
32770,0.798,0.25,0.061,0.344,0.904,0.89,0.917,557,1931
32771,0.798,0.719,0.061,0.344,0.906,0.831,0.949,766,1790
32772,0.799,0.25,0.015,0.344,0.907,0.87,0.929,832,895
32773,0.798,0.225,0.152,0.344,0.909,0.917,0.878,202,732
32774,0.796,0.239,0.152,0.334,0.91,0.925,0.878,154,1133
32775,0.795,0.25,0.015,0.319,0.912,0.87,0.929,668,1555
32776,0.796,0.625,0.045,0.305,0.914,0.846,0.953,971,1213
32777,0.796,0.436,0.121,0.292,0.916,0.902,0.949,24,968
32778,0.795,0.45,0.136,0.28,0.917,0.902,0.957,361,1922
32779,0.795,0.375,0.076,0.269,0.919,0.898,0.937,444,1310
32780,0.794,0.103,0.03,0.259,0.921,0.862,0.921,382,1016
32781,0.794,0.875,0.076,0.251,0.922,0.811,0.925,280,1375
32782,0.795,0.831,0.106,0.245,0.924,0.787,0.933,423,663
32783,0.797,0.672,0.061,0.24,0.926,0.839,0.953,834,1152
32784,0.796,0.467,0.152,0.237,0.928,0.898,0.961,739,1007
32785,0.796,0.464,0.212,0.236,0.929,0.909,0.961,207,1141
32786,0.795,0.408,0.242,0.236,0.931,0.941,0.933,859,1211
32787,0.793,0.347,0.288,0.236,0.933,0.976,0.882,350,1499
32788,0.791,0.342,0.242,0.236,0.935,0.965,0.894,858,1226
32789,0.79,0.358,0.152,0.236,0.937,0.933,0.921,883,1813
32790,0.788,0.336,0.061,0.236,0.937,0.894,0.929,991,1284
32791,0.788,0.039,0.061,0.237,0.933,0.85,0.909,604,1462
32792,0.788,0.131,0.121,0.24,0.929,0.878,0.878,375,400
32793,0.787,0.214,0.197,0.245,0.925,0.929,0.846,687,1308
32794,0.785,0.25,0.227,0.251,0.921,0.953,0.846,387,685
32795,0.782,0.283,0.152,0.259,0.917,0.933,0.894,601,1811
32796,0.781,0.322,0.106,0.269,0.913,0.917,0.917,764,1233
32797,0.78,0.308,0.106,0.279,0.909,0.917,0.913,927,1872
32798,0.78,0.261,0.045,0.288,0.905,0.882,0.921,927,1150
32799,0.78,0.0,0.045,0.298,0.901,0.846,0.921,197,426
32800,0.78,0.106,0.076,0.301,0.897,0.866,0.898,730,785
32801,0.779,0.0,0.061,0.301,0.893,0.839,0.913,943,1272
32802,0.78,0.0,0.061,0.301,0.889,0.839,0.913,377,1073
32803,0.779,0.1,0.061,0.304,0.885,0.866,0.906,533,809
32804,0.779,0.906,0.045,0.308,0.881,0.831,0.925,278,1084
32805,0.78,0.125,0.045,0.298,0.877,0.866,0.913,896,1448
32806,0.778,0.25,0.121,0.288,0.873,0.917,0.894,409,608
32807,0.777,0.289,0.136,0.279,0.869,0.925,0.902,710,805
32808,0.776,0.278,0.182,0.271,0.865,0.941,0.882,890,1485
32809,0.774,0.25,0.106,0.266,0.861,0.909,0.902,749,1584
32810,0.774,0.95,0.03,0.261,0.857,0.843,0.925,833,1924
32811,0.774,0.95,0.03,0.258,0.853,0.843,0.925,875,1244
32812,0.774,0.147,0.106,0.258,0.849,0.882,0.882,8,1896
32813,0.774,0.089,0.227,0.258,0.845,0.85,0.807,661,1954
32814,0.774,0.981,0.258,0.258,0.841,0.74,0.815,915,1154
32815,0.774,0.953,0.197,0.258,0.837,0.756,0.862,971,1683
32816,0.774,0.05,0.136,0.258,0.833,0.839,0.866,282,1159
32817,0.773,0.114,0.212,0.258,0.829,0.87,0.819,593,1649
32818,0.771,0.111,0.227,0.261,0.825,0.866,0.815,111,1322
32819,0.77,0.156,0.167,0.258,0.821,0.894,0.858,966,1072
32820,0.769,0.258,0.227,0.245,0.817,0.953,0.85,24,724
32821,0.766,0.275,0.242,0.232,0.813,0.961,0.854,518,928
32822,0.764,0.253,0.167,0.221,0.809,0.933,0.878,438,1819
32823,0.763,0.25,0.167,0.211,0.805,0.933,0.878,353,1834
32824,0.761,0.289,0.227,0.204,0.801,0.961,0.866,340,1058
32825,0.759,0.294,0.258,0.198,0.797,0.972,0.854,197,813
32826,0.757,0.292,0.197,0.195,0.793,0.953,0.878,9,407
32827,0.753,0.256,0.424,0.172,0.785,0.984,0.732,398,854
32828,0.747,0.231,0.455,0.15,0.782,0.965,0.689,336,1139
32829,0.745,0.219,0.348,0.129,0.778,0.957,0.756,193,1850
32830,0.741,0.231,0.364,0.107,0.774,0.965,0.756,317,1886
32831,0.738,0.239,0.318,0.086,0.77,0.965,0.787,435,776
32832,0.735,0.267,0.227,0.064,0.766,0.957,0.854,990,1287
32833,0.734,0.325,0.152,0.043,0.762,0.933,0.909,765,1437
32834,0.733,0.375,0.106,0.021,0.758,0.909,0.933,613,1570
32835,0.732,0.5,0.015,0.0,0.754,0.862,0.941,490,1252
32836,0.733,0.8,0.212,0.0,0.75,0.713,0.937,106,1046
32837,0.735,0.775,0.439,0.021,0.746,0.508,0.902,499,1156
32838,0.741,0.753,0.53,0.043,0.742,0.429,0.89,755,841
32839,0.747,0.744,0.545,0.064,0.738,0.425,0.894,257,279
32840,0.752,0.747,0.515,0.086,0.734,0.457,0.906,182,1287
32841,0.757,0.756,0.439,0.107,0.73,0.516,0.921,436,459
32842,0.762,0.764,0.424,0.129,0.726,0.524,0.917,953,1170
32843,0.766,0.769,0.485,0.15,0.722,0.472,0.894,543,1331
32844,0.771,0.786,0.303,0.172,0.719,0.63,0.929,206,889
32845,0.771,0.028,0.061,0.193,0.715,0.846,0.909,905,1014
32846,0.771,0.175,0.106,0.215,0.711,0.894,0.886,959,1523
32847,0.769,0.206,0.167,0.236,0.707,0.917,0.862,46,1936
32848,0.768,0.225,0.106,0.258,0.703,0.906,0.894,156,887
32849,0.768,0.389,0.061,0.279,0.699,0.886,0.937,794,1100
32850,0.768,0.375,0.106,0.301,0.695,0.909,0.933,215,1747
32851,0.766,0.367,0.091,0.322,0.691,0.902,0.933,259,1651
32852,0.766,0.375,0.076,0.344,0.687,0.898,0.937,860,1573
32853,0.764,0.4,0.091,0.365,0.684,0.902,0.941,342,1264
32854,0.764,0.422,0.091,0.387,0.68,0.894,0.945,71,1194
32855,0.763,0.364,0.061,0.408,0.676,0.894,0.933,585,1007
32856,0.763,0.522,0.03,0.429,0.672,0.862,0.945,971,986
32857,0.764,0.5,0.03,0.451,0.668,0.866,0.945,724,1136
32858,0.764,0.264,0.152,0.442,0.664,0.929,0.886,655,1327
32859,0.762,0.236,0.167,0.424,0.66,0.929,0.87,254,655
32860,0.761,0.069,0.061,0.405,0.657,0.858,0.909,420,649
32861,0.761,0.056,0.121,0.387,0.653,0.846,0.882,229,1056
32862,0.76,0.025,0.152,0.369,0.649,0.823,0.87,485,899
32863,0.761,0.033,0.121,0.352,0.645,0.835,0.882,407,1941
32864,0.76,0.144,0.167,0.336,0.641,0.89,0.85,914,1682
32865,0.758,0.031,0.121,0.319,0.637,0.835,0.882,634,1705
32866,0.759,0.983,0.106,0.304,0.634,0.823,0.898,70,850
32867,0.758,0.0,0.091,0.289,0.63,0.831,0.898,26,293
32868,0.759,0.897,0.106,0.273,0.626,0.791,0.917,664,848
32869,0.76,0.044,0.091,0.258,0.622,0.846,0.894,324,473
32870,0.759,0.144,0.121,0.243,0.618,0.886,0.878,258,1349
32871,0.758,0.222,0.136,0.228,0.615,0.917,0.878,457,848
32872,0.757,0.236,0.121,0.213,0.611,0.913,0.89,341,825
32873,0.756,0.175,0.045,0.198,0.607,0.874,0.917,952,1224
32874,0.756,0.258,0.076,0.185,0.603,0.898,0.913,464,1178
32875,0.754,0.286,0.182,0.173,0.599,0.945,0.886,715,1347
32876,0.752,0.314,0.121,0.163,0.596,0.921,0.913,503,946
32877,0.752,0.5,0.045,0.156,0.592,0.866,0.949,684,877
32878,0.752,0.375,0.061,0.152,0.588,0.894,0.937,944,1652
32879,0.752,0.464,0.061,0.137,0.585,0.878,0.949,248,1226
32880,0.752,0.564,0.106,0.125,0.581,0.854,0.972,19,1929
32881,0.752,0.431,0.152,0.116,0.577,0.909,0.949,722,874
32882,0.751,0.375,0.182,0.11,0.573,0.941,0.925,713,1332
32883,0.75,0.344,0.182,0.107,0.57,0.945,0.909,562,1846
32884,0.748,0.325,0.212,0.096,0.566,0.957,0.894,438,1410
32885,0.747,0.308,0.242,0.089,0.562,0.969,0.87,613,1174
32886,0.744,0.333,0.212,0.086,0.559,0.961,0.894,697,1517
32887,0.743,0.386,0.197,0.077,0.555,0.941,0.929,823,1059
32888,0.741,0.386,0.197,0.061,0.551,0.941,0.929,185,387
32889,0.741,0.389,0.182,0.048,0.547,0.933,0.929,718,727
32890,0.74,0.342,0.242,0.043,0.544,0.965,0.894,459,1783
32891,0.737,0.319,0.197,0.043,0.54,0.957,0.89,179,887
32892,0.736,0.314,0.091,0.03,0.536,0.909,0.921,554,1393
32893,0.735,0.281,0.061,0.021,0.533,0.89,0.921,298,1528
32894,0.735,0.125,0.045,0.0,0.529,0.866,0.913,252,504
32895,0.735,0.978,0.076,0.021,0.526,0.831,0.909,6,36
32896,0.735,0.017,0.091,0.021,0.522,0.835,0.894,161,600
32897,0.735,0.053,0.136,0.021,0.518,0.843,0.866,563,881
32898,0.735,0.014,0.167,0.021,0.515,0.807,0.858,958,1234
32899,0.735,0.0,0.182,0.03,0.511,0.795,0.854,944,1973
