id,t,u,time_in,time_out
21034,0.704,0.367,363,498
21035,0.703,0.35,865,1518
21036,0.701,0.333,463,1117
21037,0.699,0.297,430,1965
21038,0.698,0.875,878,1957
21039,0.7,0.853,303,1044
21040,0.702,0.889,871,1136
21041,0.703,0.928,594,1173
21042,0.704,0.95,983,1662
21043,0.704,0.944,145,1686
21044,0.704,0.147,842,1231
21045,0.703,0.272,20,757
21046,0.702,0.269,286,379
21047,0.701,0.225,912,1719
21048,0.701,0.3,152,764
21049,0.701,0.422,80,1123
21050,0.701,0.314,513,1838
21051,0.699,0.267,322,1202
21052,0.698,0.25,965,1257
21053,0.697,0.203,927,1488
21054,0.696,0.172,56,1591
21055,0.695,0.172,205,504
21056,0.693,0.147,838,1646
21057,0.694,0.814,636,1337
21058,0.695,0.125,579,1988
21059,0.694,0.175,664,974
21060,0.693,0.111,897,1866
21061,0.692,0.039,474,502
21062,0.693,0.142,359,1652
21063,0.692,0.217,686,882
21064,0.69,0.169,508,1984
21065,0.691,0.811,65,1236
21066,0.691,0.078,488,1824
21067,0.69,0.139,89,155
21068,0.69,0.425,436,930
21069,0.69,0.389,499,963
21070,0.69,0.322,690,1361
21071,0.688,0.322,566,1680
21072,0.688,0.267,547,1246
21073,0.686,0.214,595,1483
21074,0.685,0.114,120,1882
21075,0.685,0.117,902,1816
21076,0.684,0.15,849,1947
21077,0.683,0.131,183,1287
21078,0.682,0.047,436,482
21079,0.683,0.111,167,339
21080,0.681,0.167,452,590
21081,0.681,0.8,710,735
21082,0.682,0.767,678,1290
21083,0.682,0.089,996,1610
21084,0.681,0.133,699,1785
21085,0.68,0.139,948,1944
21086,0.678,0.111,618,1366
21087,0.678,0.111,325,616
21088,0.676,0.125,340,1382
21089,0.674,0.133,70,1542
21090,0.673,0.219,389,1237
21091,0.672,0.194,155,762
21092,0.671,0.156,624,911
21093,0.67,0.153,908,1586
21094,0.67,0.214,645,720
21095,0.668,0.269,285,924
21096,0.668,0.297,919,1917
21097,0.656,0.031,858,1913
21098,0.655,0.033,794,1991
21099,0.655,0.964,352,1368
21100,0.656,0.011,237,1800
21101,0.655,0.058,657,690
21102,0.655,0.028,13,1625
21103,0.654,0.044,511,808
21104,0.654,0.011,957,1950
21105,0.654,0.942,934,1190
21106,0.656,0.233,643,886
21107,0.654,0.25,430,1683
21108,0.652,0.417,95,1338
21109,0.652,0.467,305,1125
21110,0.652,0.283,607,967
21111,0.651,0.211,561,1158
21112,0.649,0.183,401,1633
21113,0.649,0.203,915,1591
21114,0.647,0.2,8,1105
21115,0.647,0.15,268,1933
21116,0.798,0.225,759,1836
21117,0.796,0.197,32,630
21118,0.795,0.172,930,999
21119,0.793,0.161,147,1926
21120,0.793,0.189,213,1467
21121,0.791,0.197,23,1822
21122,0.791,0.167,481,1184
21123,0.789,0.158,149,404
21124,0.788,0.125,949,1632
21125,0.787,0.081,170,748
21126,0.787,0.092,401,472
21127,0.786,0.103,628,996
21128,0.785,0.042,427,1688
21129,0.785,0.0,857,1964
21130,0.785,0.061,987,1954
21131,0.784,0.103,507,1061
21132,0.784,0.103,812,1444
21133,0.783,0.119,746,1952
21134,0.782,0.169,744,1509
21135,0.781,0.25,143,1374
21136,0.78,0.289,303,1533
21137,0.779,0.283,941,1976
21138,0.778,0.253,985,1339
21139,0.775,0.269,241,1938
21140,0.774,0.261,746,1263
21141,0.774,0.086,646,1758
21142,0.774,0.031,792,1987
21143,0.774,0.983,654,1986
21144,0.774,0.967,222,785
21145,0.775,0.942,939,1471
21146,0.776,0.947,934,1937
21147,0.776,0.031,74,833
21148,0.775,0.056,641,1583
21149,0.775,0.0,678,1305
21150,0.775,0.0,701,1982
21151,0.775,0.072,718,1836
21152,0.774,0.1,176,1641
21153,0.774,0.094,192,1720
21154,0.774,0.1,424,1447
21155,0.774,0.094,152,1379
21156,0.773,0.183,886,1318
21157,0.771,0.236,495,1311
21158,0.769,0.264,150,1566
21159,0.769,0.267,309,556
21160,0.768,0.25,884,1655
21161,0.767,0.286,643,729
21162,0.767,0.314,950,1932
21163,0.765,0.333,838,1826
21164,0.763,0.35,866,1195
21165,0.762,0.392,138,1349
21166,0.762,0.375,308,621
21167,0.759,0.358,183,1610
21168,0.757,0.375,275,331
21169,0.756,0.375,521,1489
21170,0.754,0.375,307,389
21171,0.752,0.375,182,1727
21172,0.751,0.4,934,1021
21173,0.75,0.386,634,1812
21174,0.748,0.361,746,1096
21175,0.747,0.35,924,1850
21176,0.745,0.325,319,1952
21177,0.742,0.322,74,1093
21178,0.741,0.319,857,1118
21179,0.74,0.875,319,597
21180,0.741,0.914,949,1008
21181,0.741,0.942,506,1486
21182,0.743,0.925,453,1398
21183,0.744,0.911,646,1660
21184,0.746,0.897,240,959
21185,0.747,0.925,805,1105
21186,0.747,0.022,839,1695
21187,0.747,0.419,564,1479
21188,0.746,0.433,501,1025
21189,0.745,0.428,100,1018
21190,0.744,0.419,708,1768
21191,0.743,0.4,857,1350
21192,0.741,0.383,868,1341
21193,0.738,0.372,284,1339
21194,0.736,0.364,214,568
21195,0.734,0.361,578,631
21196,0.731,0.369,733,810
21197,0.729,0.392,388,782
21198,0.728,0.442,511,1426
21199,0.727,0.492,324,1476
21200,0.727,0.519,452,987
21201,0.728,0.539,709,1616
21202,0.729,0.564,218,1265
21203,0.73,0.578,200,1862
21204,0.732,0.578,33,803
21205,0.734,0.556,641,1970
21206,0.735,0.511,64,1039
21207,0.734,0.467,270,780
21208,0.733,0.453,524,551
21209,0.732,0.467,207,1730
21210,0.732,0.464,156,422
21211,0.73,0.461,755,1010
21212,0.729,0.469,918,1185
21213,0.729,0.444,255,661
21214,0.727,0.456,349,1992
21215,0.727,0.439,827,1714
21216,0.723,0.403,456,1152
21217,0.72,0.411,732,1338
21218,0.717,0.4,556,1297
21219,0.715,0.361,176,690
21220,0.715,0.011,512,1236
21221,0.716,0.992,41,1404
21222,0.716,0.947,856,1743
21223,0.719,0.939,658,1729
21224,0.719,0.917,603,759
21225,0.723,0.856,501,1087
21226,0.725,0.794,887,1319
21227,0.73,0.8,567,776
21228,0.731,0.897,864,1828
21229,0.733,0.919,840,1771
21230,0.734,0.011,576,1424
21231,0.732,0.064,882,1041
21232,0.732,0.047,191,1231
21233,0.731,0.047,864,1433
21234,0.731,0.0,834,1036
21235,0.731,0.039,114,435
21236,0.73,0.064,165,1028
21237,0.73,0.15,62,724
21238,0.729,0.214,754,1321
21239,0.729,0.25,90,808
21240,0.728,0.25,407,644
21241,0.728,0.375,249,1958
21242,0.726,0.242,469,775
21243,0.725,0.125,380,1914
21244,0.725,0.094,477,869
21245,0.724,0.147,265,1293
21246,0.723,0.147,148,1411
21247,0.723,0.097,989,1749
21248,0.723,0.144,106,1909
21249,0.721,0.2,832,1191
21250,0.719,0.031,63,507
21251,0.721,0.0,547,884
21252,0.719,0.125,588,705
21253,0.719,0.125,696,1497
21254,0.719,0.125,953,1279
21255,0.719,0.039,274,635
21256,0.719,0.1,144,1698
21257,0.717,0.069,499,1318
21258,0.719,0.228,283,546
21259,0.716,0.25,921,1278
21260,0.715,0.733,404,1321
21261,0.716,0.7,743,1052
21262,0.716,0.367,959,1777
21263,0.715,0.394,624,728
21264,0.715,0.411,966,1740
21265,0.714,0.403,64,1218
21266,0.713,0.378,189,1505
21267,0.712,0.378,690,1152
21268,0.71,0.364,540,1985
21269,0.709,0.339,505,1981
21270,0.706,0.339,12,154
21271,0.704,0.361,220,1954
21272,0.703,0.375,317,1915
21273,0.701,0.358,823,1631
21274,0.699,0.289,507,1074
21275,0.699,0.028,55,1770
21276,0.7,0.875,673,1026
21277,0.702,0.842,625,676
21278,0.704,0.864,787,1019
21279,0.705,0.939,40,1753
21280,0.704,0.981,486,789
21281,0.705,0.014,873,1054
21282,0.705,0.194,265,269
21283,0.703,0.228,165,638
21284,0.702,0.189,186,1583
21285,0.702,0.064,39,1086
21286,0.702,0.147,143,1904
21287,0.701,0.242,908,1124
21288,0.7,0.264,252,1526
21289,0.699,0.219,974,1405
21290,0.698,0.142,220,1072
21291,0.698,0.078,989,1924
21292,0.698,0.108,944,972
21293,0.697,0.131,597,1506
21294,0.695,0.117,543,1672
21295,0.694,0.0,428,1018
21296,0.695,0.986,7,668
21297,0.695,0.078,252,1631
21298,0.694,0.1,563,1583
21299,0.693,0.083,773,1233
21300,0.693,0.175,332,1483
21301,0.691,0.211,69,1801
21302,0.69,0.058,729,1709
21303,0.691,0.875,371,493
21304,0.692,0.022,998,1183
21305,0.691,0.106,854,1946
21306,0.69,0.136,589,1245
21307,0.689,0.222,679,829
21308,0.689,0.256,766,1981
21309,0.687,0.219,96,1685
21310,0.688,0.103,118,1776
21311,0.686,0.114,579,641
21312,0.686,0.053,410,1054
21313,0.686,0.106,351,1883
21314,0.685,0.153,168,1132
21315,0.684,0.125,315,813
21316,0.684,0.114,356,714
21317,0.684,0.228,481,1527
21318,0.682,0.244,820,1456
21319,0.68,0.45,162,1647
21320,0.681,0.608,438,1321
21321,0.682,0.533,812,1979
21322,0.682,0.3,521,1874
21323,0.681,0.194,467,1026
21324,0.679,0.158,254,1117
21325,0.679,0.167,306,1683
21326,0.677,0.197,586,925
21327,0.673,0.097,45,1121
21328,0.672,0.103,327,820
21329,0.671,0.097,662,1933
21330,0.67,0.136,218,958
21331,0.668,0.131,304,1993
21332,0.668,0.139,540,1792
21333,0.667,0.175,429,820
21334,0.656,0.05,891,1386
21335,0.656,0.95,428,1976
21336,0.657,0.922,481,886
21337,0.658,0.989,488,1822
21338,0.657,0.025,334,497
21339,0.657,0.978,919,1292
21340,0.658,0.056,521,891
21341,0.656,0.083,360,659
21342,0.656,0.022,771,1144
21343,0.656,0.078,883,1074
21344,0.655,0.097,300,447
21345,0.655,0.25,840,1887
21346,0.654,0.425,596,1788
21347,0.654,0.392,547,1786
21348,0.652,0.344,104,1997
21349,0.651,0.375,671,1224
21350,0.651,0.489,666,965
21351,0.652,0.35,874,1866
21352,0.65,0.331,261,1928
21353,0.649,0.369,40,904
21354,0.648,0.386,884,1478
21355,0.647,0.419,124,1108
21356,0.647,0.356,210,678
21357,0.801,0.169,386,1435
21358,0.799,0.183,584,779
21359,0.798,0.169,6,303
21360,0.797,0.144,135,303
21361,0.795,0.15,670,1921
21362,0.793,0.175,875,1828
21363,0.792,0.156,437,635
21364,0.791,0.125,350,813
21365,0.79,0.142,607,1330
21366,0.789,0.106,801,1099
21367,0.788,0.044,950,1526
21368,0.788,0.075,334,743
21369,0.787,0.094,395,988
21370,0.786,0.031,95,102
21371,0.786,0.031,989,1030
21372,0.786,0.081,962,1761
21373,0.785,0.108,945,1103
21374,0.784,0.167,934,1865
21375,0.783,0.256,277,1430
21376,0.782,0.303,403,1942
21377,0.78,0.328,578,1923
21378,0.779,0.35,480,1902
21379,0.777,0.408,50,252
21380,0.778,0.344,41,1450
21381,0.775,0.244,94,1715
21382,0.775,0.975,413,1625
21383,0.775,0.986,197,1308
21384,0.775,0.014,720,1266
21385,0.775,0.953,591,1996
21386,0.776,0.939,537,1716
21387,0.777,0.947,713,1669
21388,0.777,0.053,340,1540
21389,0.776,0.067,149,410
21390,0.776,0.064,328,1875
21391,0.776,0.125,701,1513
21392,0.776,0.25,865,1781
21393,0.775,0.25,939,1991
21394,0.774,0.2,639,1932
21395,0.774,0.175,874,1895
21396,0.774,0.256,795,847
21397,0.773,0.3,178,215
21398,0.771,0.311,423,481
21399,0.77,0.283,360,1482
21400,0.769,0.267,539,1560
21401,0.769,0.314,705,1871
21402,0.767,0.35,587,1214
21403,0.765,0.375,993,1269
21404,0.763,0.375,25,945
21405,0.762,0.361,947,1374
21406,0.761,0.375,944,1165
21407,0.76,0.361,264,1737
21408,0.757,0.356,822,1822
21409,0.756,0.375,331,526
21410,0.754,0.383,140,836
21411,0.752,0.386,236,556
21412,0.751,0.364,732,1256
21413,0.749,0.394,989,1608
21414,0.749,0.375,841,1040
21415,0.747,0.35,319,499
21416,0.746,0.347,534,1249
21417,0.744,0.286,447,1960
21418,0.742,0.214,282,1340
21419,0.741,0.075,473,1442
21420,0.741,0.9,655,675
21421,0.743,0.908,265,1239
21422,0.744,0.931,649,1337
21423,0.745,0.914,933,1617
21424,0.747,0.914,893,1143
21425,0.747,0.936,371,428
21426,0.748,0.069,7,1056
21427,0.747,0.308,944,1006
21428,0.745,0.378,373,680
21429,0.744,0.408,809,1452
21430,0.743,0.419,698,1691
21431,0.741,0.425,836,1283
21432,0.74,0.422,738,1301
21433,0.738,0.411,569,1309
21434,0.736,0.403,756,846
21435,0.734,0.394,177,1234
21436,0.731,0.386,697,1254
21437,0.729,0.389,704,1370
21438,0.727,0.397,65,798
21439,0.725,0.428,516,1773
21440,0.724,0.478,794,1332
21441,0.724,0.511,0,274
21442,0.725,0.536,331,577
21443,0.726,0.561,64,389
21444,0.727,0.575,882,1924
21445,0.729,0.567,631,1006
21446,0.73,0.544,507,1224
21447,0.731,0.506,559,996
21448,0.731,0.472,481,1746
21449,0.73,0.458,873,1345
21450,0.729,0.458,173,918
21451,0.727,0.453,594,958
21452,0.726,0.467,8,354
21453,0.726,0.478,239,945
21454,0.725,0.442,297,485
21455,0.723,0.444,51,1378
21456,0.722,0.439,140,1103
21457,0.719,0.408,457,1031
21458,0.717,0.397,860,1017
21459,0.716,0.036,608,874
21460,0.717,0.953,702,1541
21461,0.719,0.961,946,1833
21462,0.719,0.967,689,857
21463,0.72,0.928,914,1125
21464,0.723,0.933,426,1863
21465,0.723,0.95,362,461
21466,0.724,0.906,703,917
21467,0.726,0.811,316,1850
21468,0.729,0.753,922,1992
21469,0.733,0.739,522,948
21470,0.735,0.761,209,1552
21471,0.735,0.019,22,1296
21472,0.734,0.1,589,1411
21473,0.734,0.086,738,751
21474,0.733,0.111,689,1627
21475,0.732,0.094,498,1574
21476,0.732,0.164,470,943
21477,0.731,0.164,643,1034
21478,0.73,0.206,331,1087
21479,0.729,0.231,334,1990
21480,0.729,0.278,565,606
21481,0.728,0.336,603,1527
21482,0.728,0.433,920,1639
21483,0.727,0.375,413,973
21484,0.726,0.278,386,1630
21485,0.725,0.05,423,1426
21486,0.726,0.075,894,1980
21487,0.725,0.189,251,1386
21488,0.723,0.194,66,1303
21489,0.723,0.244,694,1896
21490,0.722,0.278,309,1429
21491,0.721,0.233,712,870
21492,0.72,0.961,129,532
21493,0.721,0.0,528,1089
21494,0.72,0.125,837,1498
21495,0.72,0.125,948,1060
21496,0.719,0.086,14,1658
21497,0.719,0.031,467,1023
21498,0.719,0.203,1000,1289
21499,0.719,0.314,19,1560
21500,0.717,0.344,732,1031
21501,0.716,0.317,871,1905
21502,0.714,0.597,96,1936
21503,0.716,0.647,992,1584
21504,0.715,0.331,624,1436
21505,0.714,0.369,565,881
21506,0.713,0.442,37,1645
21507,0.714,0.411,316,342
21508,0.712,0.372,844,1328
21509,0.71,0.389,993,1143
21510,0.708,0.4,809,1420
21511,0.707,0.375,563,1790
21512,0.705,0.342,301,1932
21513,0.703,0.319,956,1489
21514,0.701,0.3,448,1356
21515,0.7,0.214,961,1170
21516,0.7,0.0,738,1693
21517,0.7,0.967,319,328
21518,0.701,0.894,794,1854
21519,0.703,0.839,387,1110
21520,0.705,0.842,459,474
21521,0.705,0.961,411,1015
21522,0.705,0.008,540,564
21523,0.705,0.064,937,1639
21524,0.704,0.172,219,274
21525,0.703,0.175,453,1349
21526,0.702,0.175,951,1551
21527,0.702,0.272,330,705
21528,0.702,0.267,380,1934
21529,0.701,0.181,717,1411
21530,0.701,0.117,451,1569
21531,0.7,0.144,175,526
21532,0.699,0.117,516,1959
21533,0.699,0.181,947,1382
21534,0.698,0.261,596,1771
21535,0.698,0.25,288,702
21536,0.696,0.203,131,1139
21537,0.695,0.078,46,702
21538,0.696,0.0,109,865
21539,0.695,0.125,110,458
21540,0.695,0.183,698,1049
21541,0.694,0.181,359,1245
21542,0.694,0.208,24,333
21543,0.692,0.194,758,788
21544,0.691,0.981,9,1864
21545,0.692,0.936,53,568
21546,0.691,0.0,622,887
21547,0.692,0.058,108,215
21548,0.691,0.103,717,1346
21549,0.69,0.089,247,304
21550,0.689,0.1,305,848
21551,0.688,0.047,415,1850
21552,0.689,0.014,55,1389
21553,0.689,0.119,852,1193
21554,0.687,0.189,960,1478
21555,0.687,0.267,971,1377
21556,0.686,0.264,829,1393
21557,0.685,0.258,600,1388
21558,0.684,0.258,949,1428
21559,0.682,0.244,1000,1413
21560,0.681,0.181,738,1111
21561,0.681,0.083,191,1120
21562,0.681,0.125,420,930
21563,0.681,0.492,755,951
21564,0.681,0.5,561,1359
21565,0.681,0.328,5,29
21566,0.68,0.275,797,1269
21567,0.679,0.3,54,792
21568,0.677,0.306,697,1971
21569,0.673,0.092,600,661
21570,0.672,0.106,450,1982
21571,0.672,0.147,151,410
21572,0.67,0.169,104,1126
21573,0.67,0.219,984,1908
21574,0.658,0.986,576,819
21575,0.657,0.011,457,1010
21576,0.658,0.95,903,1458
21577,0.658,0.925,666,1391
21578,0.659,0.986,901,1380
21579,0.659,0.061,449,583
21580,0.659,0.956,461,1610
21581,0.659,0.117,86,1538
21582,0.658,0.136,877,1541
21583,0.657,0.136,896,1668
21584,0.656,0.222,934,1567
21585,0.656,0.25,512,553
21586,0.654,0.289,824,1925
21587,0.653,0.333,559,953
21588,0.653,0.333,137,1581
21589,0.652,0.297,245,571
21590,0.652,0.319,939,1089
21591,0.651,0.45,106,269
21592,0.651,0.369,697,1159
21593,0.649,0.322,67,769
21594,0.647,0.333,348,1418
21595,0.646,0.331,671,1291
21596,0.646,0.406,868,1793
21597,0.802,0.225,927,941
21598,0.8,0.217,719,1460
21599,0.798,0.192,108,564
21600,0.797,0.147,531,1414
21601,0.796,0.164,505,1502
21602,0.794,0.175,376,1796
21603,0.792,0.131,445,1993
21604,0.792,0.094,409,1988
21605,0.791,0.108,831,1792
21606,0.79,0.072,713,1839
21607,0.79,0.044,436,832
21608,0.79,0.125,626,705
21609,0.788,0.119,731,1120
21610,0.788,0.017,125,415
21611,0.788,0.086,345,1736
21612,0.787,0.131,974,1709
21613,0.786,0.161,48,1284
21614,0.785,0.217,252,1486
21615,0.783,0.275,538,1528
21616,0.781,0.297,892,1051
21617,0.78,0.289,616,1008
21618,0.778,0.278,995,1977
21619,0.776,0.3,753,897
21620,0.776,0.239,810,909
21621,0.775,0.05,898,1115
21622,0.776,0.931,583,681
21623,0.777,0.975,204,1797
21624,0.777,0.025,319,1869
21625,0.776,0.939,73,316
21626,0.778,0.936,881,1392
21627,0.778,0.978,623,1008
21628,0.779,0.95,23,1926
21629,0.779,0.1,664,1841
21630,0.778,0.175,502,973
21631,0.777,0.231,490,542
21632,0.775,0.286,760,1733
21633,0.775,0.342,126,1105
21634,0.774,0.339,857,1842
21635,0.774,0.375,61,1340
21636,0.774,0.344,252,421
21637,0.774,0.347,584,1295
21638,0.772,0.344,958,1190
21639,0.769,0.386,609,1808
21640,0.769,0.428,39,1239
21641,0.769,0.375,11,1133
21642,0.767,0.364,950,1427
21643,0.765,0.367,139,931
21644,0.763,0.375,766,1143
21645,0.762,0.389,157,534
21646,0.762,0.375,665,1321
21647,0.76,0.364,932,1310
21648,0.758,0.342,938,1308
21649,0.756,0.336,884,1971
21650,0.754,0.356,282,562
21651,0.752,0.383,345,1518
21652,0.751,0.4,418,1115
21653,0.75,0.344,646,1414
21654,0.748,0.375,554,1566
21655,0.748,0.381,156,602
21656,0.746,0.353,406,879
21657,0.745,0.358,402,1993
21658,0.744,0.297,15,441
21659,0.743,0.125,66,1543
21660,0.742,0.978,394,1340
21661,0.743,0.914,516,1258
21662,0.745,0.914,720,1224
21663,0.746,0.922,934,1437
21664,0.747,0.922,381,1688
21665,0.748,0.944,597,714
21666,0.749,0.025,837,1065
21667,0.748,0.214,225,1531
21668,0.746,0.297,526,1664
21669,0.744,0.344,872,1593
21670,0.742,0.378,755,1163
21671,0.74,0.4,129,1529
21672,0.738,0.414,266,436
21673,0.735,0.425,727,1612
21674,0.733,0.417,682,891
21675,0.731,0.408,349,1382
21676,0.728,0.4,633,1742
21677,0.726,0.397,169,1854
21678,0.724,0.4,298,1028
21679,0.723,0.411,8,1460
21680,0.722,0.447,439,842
21681,0.722,0.492,645,1535
21682,0.722,0.528,94,467
21683,0.723,0.558,37,719
21684,0.724,0.569,352,919
21685,0.726,0.553,789,1206
21686,0.727,0.531,84,443
21687,0.727,0.503,843,1095
21688,0.727,0.478,370,782
21689,0.726,0.464,819,1841
21690,0.725,0.453,84,1694
21691,0.724,0.439,776,1400
21692,0.722,0.461,158,1567
21693,0.722,0.469,758,935
21694,0.721,0.444,336,1510
21695,0.719,0.442,143,1319
21696,0.717,0.436,776,1228
21697,0.716,0.428,547,731
21698,0.717,0.903,873,1999
21699,0.719,0.919,137,362
21700,0.721,0.936,304,1963
21701,0.722,0.961,521,1391
21702,0.723,0.969,587,1210
21703,0.723,0.933,593,747
21704,0.726,0.933,830,1056
21705,0.727,0.969,426,843
21706,0.727,0.967,864,1244
21707,0.728,0.919,619,708
21708,0.729,0.844,633,929
21709,0.731,0.739,537,1943
21710,0.733,0.686,661,1120
21711,0.735,0.636,479,1430
21712,0.735,0.25,282,1799
21713,0.734,0.208,70,1546
21714,0.733,0.169,138,1665
21715,0.733,0.114,243,1146
21716,0.731,0.175,697,963
21717,0.731,0.125,226,247
21718,0.731,0.131,944,1221
21719,0.729,0.108,477,1759
21720,0.729,0.156,624,870
21721,0.727,0.239,784,1176
21722,0.726,0.347,802,1377
21723,0.726,0.411,604,1161
21724,0.726,0.0,333,1355
21725,0.726,0.969,14,1765
21726,0.726,0.086,65,589
21727,0.725,0.186,225,759
21728,0.723,0.244,871,1044
21729,0.722,0.186,131,1759
21730,0.721,0.103,968,1451
21731,0.721,0.969,817,1590
21732,0.722,0.069,902,1015
21733,0.721,0.225,440,1257
21734,0.72,0.25,950,1836
21735,0.719,0.25,16,1089
21736,0.72,0.3,335,1184
21737,0.719,0.311,269,1151
21738,0.717,0.339,673,1973
21739,0.716,0.342,885,1113
21740,0.715,0.342,716,961
21741,0.714,0.575,905,1563
21742,0.716,0.65,206,740
21743,0.715,0.289,49,1186
21744,0.713,0.306,93,1755
21745,0.712,0.394,236,435
21746,0.71,0.378,44,1199
21747,0.708,0.383,20,458
21748,0.706,0.406,423,1768
21749,0.705,0.386,424,1223
21750,0.704,0.211,830,1901
21751,0.703,0.147,117,1520
21752,0.702,0.111,168,1153
21753,0.701,0.011,895,1433
21754,0.702,0.95,576,1434
21755,0.702,0.969,304,983
21756,0.702,0.933,914,1906
21757,0.704,0.883,779,1147
21758,0.705,0.9,510,1866
21759,0.705,0.964,458,1963
21760,0.706,0.036,246,1733
21761,0.706,0.164,365,1472
21762,0.705,0.164,113,1091
21763,0.705,0.156,117,1576
21764,0.703,0.186,482,1515
21765,0.702,0.211,701,1307
21766,0.701,0.147,40,1604
21767,0.702,0.086,221,1756
21768,0.702,0.156,942,1223
21769,0.701,0.178,163,1650
21770,0.7,0.189,69,1417
21771,0.699,0.244,702,855
21772,0.697,0.275,231,975
21773,0.696,0.25,201,1225
21774,0.696,0.236,344,712
21775,0.695,0.233,733,1297
21776,0.695,0.3,666,1073
21777,0.695,0.289,300,1369
21778,0.695,0.264,418,845
21779,0.694,0.3,538,1093
21780,0.693,0.333,330,957
21781,0.692,0.35,248,1732
21782,0.692,0.689,752,1587
21783,0.693,0.833,841,1724
21784,0.693,0.994,211,244
21785,0.693,0.133,466,1273
21786,0.692,0.186,558,1163
21787,0.692,0.103,290,367
21788,0.691,0.081,180,797
21789,0.69,0.014,322,417
21790,0.691,0.028,301,932
21791,0.689,0.175,792,1868
21792,0.686,0.233,728,1258
21793,0.686,0.294,650,1712
21794,0.684,0.303,624,919
21795,0.684,0.328,929,1452
21796,0.684,0.239,792,849
21797,0.683,0.153,947,1562
21798,0.682,0.125,270,1591
21799,0.682,0.114,969,1208
21800,0.682,0.136,617,821
21801,0.68,0.147,242,1328
21802,0.68,0.906,732,896
21803,0.681,0.183,1000,1129
21804,0.679,0.247,865,1868
21805,0.678,0.275,957,1090
21806,0.677,0.272,784,1023
21807,0.668,0.283,181,254
21808,0.658,0.956,934,953
21809,0.659,0.953,783,1710
21810,0.659,0.986,183,322
21811,0.659,0.975,262,857
21812,0.659,0.978,737,772
21813,0.659,0.047,724,1679
21814,0.658,0.161,834,1400
21815,0.658,0.419,78,1824
21816,0.659,0.392,970,1066
21817,0.658,0.339,487,980
21818,0.657,0.328,72,855
21819,0.656,0.286,657,1137
21820,0.656,0.233,970,1768
21821,0.655,0.206,736,1354
21822,0.653,0.203,573,1260
21823,0.653,0.239,953,1047
21824,0.652,0.272,83,1518
21825,0.651,0.308,559,1495
21826,0.65,0.383,432,1417
21827,0.65,0.361,101,1011
21828,0.649,0.294,763,1538
21829,0.647,0.208,238,618
21830,0.647,0.144,698,1989
21831,0.646,0.164,276,547
21832,0.802,0.283,835,1905
21833,0.802,0.294,910,1641
21834,0.8,0.25,267,1001
21835,0.798,0.186,143,470
21836,0.798,0.15,925,1440
21837,0.797,0.186,214,1597
21838,0.795,0.181,4,1212
21839,0.793,0.125,936,1873
21840,0.793,0.081,460,1945
21841,0.792,0.106,143,643
21842,0.792,0.108,998,1479
21843,0.791,0.133,269,332
21844,0.79,0.189,383,808
21845,0.788,0.156,600,1056
21846,0.789,0.05,807,1158
21847,0.788,0.2,247,547
21848,0.787,0.206,349,446
21849,0.786,0.236,724,1851
21850,0.785,0.25,633,1633
21851,0.782,0.258,749,1429
21852,0.781,0.269,192,1519
21853,0.78,0.25,670,1028
21854,0.777,0.1,878,1572
21855,0.777,0.006,66,528
21856,0.777,0.967,223,1452
21857,0.778,0.956,275,308
21858,0.778,0.956,691,922
21859,0.778,0.0,245,1605
21860,0.778,0.928,487,1518
21861,0.78,0.931,732,799
21862,0.779,0.097,984,1867
21863,0.779,0.875,733,1019
21864,0.779,0.272,767,1583
21865,0.777,0.267,832,1098
21866,0.776,0.125,304,1485
21867,0.776,0.106,252,1882
21868,0.775,0.164,339,1180
21869,0.774,0.242,759,1883
21870,0.774,0.375,972,1076
21871,0.774,0.353,15,481
21872,0.772,0.35,707,1285
21873,0.77,0.333,116,1702
21874,0.768,0.353,883,1505
21875,0.768,0.406,833,1080
21876,0.767,0.336,147,1680
21877,0.766,0.322,768,1050
21878,0.763,0.319,953,1096
21879,0.762,0.331,281,844
21880,0.761,0.347,302,515
21881,0.76,0.339,112,1293
21882,0.758,0.331,176,1544
21883,0.757,0.322,507,1069
21884,0.755,0.322,993,1232
21885,0.752,0.328,817,1428
21886,0.75,0.361,55,929
21887,0.75,0.425,614,1555
21888,0.749,0.375,400,1853
21889,0.747,0.369,291,1756
21890,0.747,0.336,254,594
21891,0.745,0.311,411,1949
21892,0.744,0.317,171,1716
21893,0.743,0.2,718,1210
21894,0.743,0.925,957,1292
21895,0.745,0.922,231,1226
21896,0.746,0.914,613,1323
21897,0.747,0.914,301,915
21898,0.748,0.919,506,1143
21899,0.75,0.922,116,837
21900,0.751,0.997,60,1503
21901,0.75,0.15,435,603
21902,0.748,0.261,476,501
21903,0.745,0.3,414,956
21904,0.743,0.325,611,1035
21905,0.74,0.353,414,794
21906,0.737,0.378,523,808
21907,0.735,0.4,707,1542
21908,0.733,0.417,459,1326
21909,0.731,0.425,495,1922
21910,0.729,0.419,776,1060
21911,0.727,0.411,474,1823
21912,0.725,0.406,118,1604
21913,0.724,0.392,477,1857
21914,0.723,0.353,107,1932
21915,0.722,0.272,741,1825
21916,0.721,0.242,15,1135
21917,0.721,0.308,204,985
21918,0.721,0.458,282,1628
21919,0.721,0.547,235,598
21920,0.721,0.561,917,1000
21921,0.722,0.539,330,1899
21922,0.723,0.519,538,1562
